trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	8420	003	7.76	5.56	0	0.0	3.537780553	3.9549906239999997	3	1	0.698722684	0.001016467002
2	9070	332	5.01	3.63	1	5.471041382	9.136171877999999	9.55319094	2	1	0.901624665	0.0014211500020000001
3	8180	100	7.12	6.59	0	11.06938223	14.23438544	14.651045800000002	1	1	0.563057559	0.001055642002
4	3062	020	1.87	5.78	0	16.16706531	19.66611916	20.08240247	2	1	0.595390923	0.001036654998
5	8540	233	7.48	5.16	1	21.5991466	24.94814795	25.36406971	2	1	0.810654194	0.001135754999
6	9560	100	2.12	5.5	0	26.8809238	30.01262655	30.42944074	1	1	0.536710259	0.001085866003
7	2205	020	1.95	4.53	0	31.94574938	35.19425492	35.61064007	2	1	0.683452418	0.001067708003
8	2487	112	5.2	4.05	1	37.12743933	40.65978265	41.07581704	2	1	0.817899041	0.001018398001
9	9908	212	2.34	6.63	1	42.59201368	46.5904818	47.00741604	1	1	0.854569076	0.001077304001
10	2208	100	7.35	5.68	0	48.52358989	52.07190359	52.48871553	1	1	0.557653294	0.001091942999
11	2710	020	2.52	5.46	0	54.00468235	57.63747839	58.05380824	2	1	0.551964747	0.001028081999
12	2717	232	2.58	5.7	1	59.56947831	63.25223377	63.66814474	3	1	0.7221248570000001	0.001073038999
13	5600	112	7.57	5.19	1	65.18482199	69.08388917	69.49959888	2	1	0.714312926	0.001106675001
14	6350	003	1.9	7.29	0	71.01623907	74.89762992	75.31414050000001	3	1	0.587625999	0.001027753002
15	2840	100	4.91	2.43	0	76.8303541	80.69569183	81.11228449	1	1	0.606437729	0.001126436
16	1710	212	8.34	5.41	1	82.6284678	85.99462977	86.41077946	1	1	0.8193097420000001	0.001028774001
17	2190	003	4.83	2.41	0	87.92679923	91.52546412	91.94263259999998	3	1	0.6310991770000001	0.001013197001
18	8300	313	7.02	6.14	1	93.45883461	97.44017428	97.85745684	1	1	0.7566353690000001	0.001080033002
19	5535	100	4.81	4.11	0	99.37316640000002	102.65535600000001	103.0556542	1	1	0.551288837	0.001352560001
20	7330	020	7.69	5.14	0	104.57191479999999	108.12084820000001	108.53719790000001	2	1	0.604797464	0.0010953150010000001
21	8200	232	7.54	6.35	1	110.053079	113.58506129999999	114.0023537	3	1	0.939390024	0.001044486002
22	9800	100	2.04	6.05	0	115.5179658	119.38308889999999	119.7999514	1	1	0.49377044600000003	0.0010187520020000001
23	7100	221	5.24	2.89	1	121.3161741	124.71556399999999	125.131203	1	1	0.6510542739999999	0.001094037001
24	9940	020	1.62	7.15	0	126.6475126	130.2970631	130.7134502	2	1	0.57246968	0.001083995998
25	7032	003	4.82	3.18	0	132.2287691	135.69477869999997	136.1112569	3	1	0.614434366	0.001024888999
26	7632	221	5.22	4.78	1	137.6272262	141.12591830000002	141.5429793	1	1	0.599583941	0.0011065839969999999
27	2154	100	8.03	4.48	0	143.05911909999998	146.8078975	147.2243053	1	1	0.541780164	0.001059851998
28	2710	322	2.52	5.46	1	148.7403501	152.6722912	153.0886273	3	1	0.9098110209999999	0.0011030360000000002
29	2393	020	4.87	2.93	0	154.6047535	157.82031940000002	158.23761530000002	2	1	0.584629763	0.001128054999
30	2441	003	4.64	3.62	0	159.75332790000002	163.102367	163.5186228	3	1	0.511580397	0.001070364997
31	3062	131	1.87	5.78	1	165.035295	168.90013969999998	169.3169352	3	1	0.801341802	0.001074975
32	3195	020	2.06	6.36	0	170.83282880000002	174.8158061	175.2318627	2	1	0.62278102	0.001135398001
33	9700	313	4.77	3.21	1	176.7479745	180.3466803	180.76303049999999	1	1	0.667180215	0.001195230998
34	9421	211	2.21	5.04	1	182.2797638	185.6283961	186.0452544	2	1	0.8089020290000001	0.001079466998
35	2377	003	5.19	3.5	0	187.5611729	191.52627030000002	191.9425431	3	1	0.639339609	0.0010405219980000001
36	7036	322	4.88	3.32	1	193.45928490000003	197.10755590000002	197.5239992	3	1	0.7379730729999999	0.001158285002
37	3160	100	2.63	5.35	0	199.040157	202.5892507	203.0054426	1	1	0.54552997	0.001353519001
38	9560	232	2.12	5.5	1	204.5223632	207.8880163	208.30394740000003	3	1	0.765953145	0.0010420640029999999
39	9700	020	4.77	3.21	0	209.8202273	213.0525682	213.4692176	2	1	0.593453304	0.0013439079990000002
40	9920	003	2.5	5.76	0	214.98553289999998	218.3014683	218.7175421	3	1	0.576832708	0.001101206002
41	9000	313	2.55	4.06	1	220.23359969999998	224.13196749999997	224.5489202	1	1	0.7530516559999999	0.0011699059979999999
42	7497	020	5.19	4.97	0	226.0655701	229.9141079	230.3305982	2	1	0.683421924	0.001047114998
43	9421	020	2.21	5.04	0	231.84692090000001	235.66195330000002	236.07827149999997	2	1	0.61633133	0.001108998
44	7484	212	4.99	4.24	1	237.5948042	241.4769704	241.89351780000004	1	1	0.7765830290000001	0.001130174001
45	2224	211	7.24	4.85	1	243.40975330000003	247.00840290000002	247.42471319999999	2	1	0.781016897	0.001012235
46	3181	100	2.3	5.06	0	248.94126859999997	252.72288619999998	253.13963959999998	1	1	0.570600344	0.001085155
47	7032	332	4.82	3.18	1	254.6551432	258.50397999999996	258.9209241	2	1	0.861485719	0.001096708998
48	2208	211	7.35	5.68	1	260.4370761	263.8356186	264.2357084	2	1	0.69129757	0.0014323449979999998
49	7004	100	5.04	2.0	0	265.7522985	268.9678072	269.3839315	1	1	0.518710727	0.001120885001
50	2071	311	7.86	5.0	1	270.89983	274.0154233	274.4327263	3	1	0.757602144	0.001066200002
51	7405	100	7.38	6.28	0	275.9487853	279.49710419999997	279.91357450000004	1	1	0.500235114	0.001031470998
52	3110	331	1.79	6.7	1	281.42972410000004	285.11226519999997	285.5284132	1	1	0.7660192029999999	0.001104695002
53	8503	020	7.02	5.22	0	287.04474869999996	290.4434686	290.8607023	2	1	0.577537675	0.001081967999
54	3181	112	2.3	5.06	1	292.37652230000003	296.2423758	296.6584231	2	1	0.740360247	0.001130234999
55	3059	100	1.81	6.48	0	298.1741633	301.8064912	302.2229159	1	1	0.55092358	0.001027498001
56	8496	112	7.58	5.79	1	303.73913799999997	307.57107510000003	307.98768839999997	2	1	0.658832911	0.001117265998
57	6260	221	2.44	6.93	1	309.5038412	313.38610739999996	313.80312569999995	1	1	0.6829209079999999	0.001035896999
58	7484	100	4.99	4.24	0	315.31852810000004	318.9848173	319.40052210000005	1	1	0.5503785929999999	0.0014494739989999999
59	8420	332	7.76	5.56	1	320.9168757	323.98317660000004	324.3993343	2	1	0.64729826	0.0011393249989999998
60	2840	232	4.91	2.43	1	325.9154599	329.9304727	330.34698419999995	3	1	1.227275307	0.001079522001
