trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	2799	221	2.42	5.02	1	0.0	3.473443161	3.874232019	1	1	0.8755175167	0.001318123002
2	2516	311	4.9	3.5	1	5.377141356	8.483168841	8.883983794	3	1	0.9300566861	0.0013556679990000002
3	9250	003	2.57	6.6	0	10.38690405	14.27777509	14.67855473	3	1	0.7032476874	0.001422687004
4	4520	332	6.16	4.8	1	16.19817526	19.24586042	19.66184159	2	1	0.887791363	0.001137225001
5	9322	322	2.24	5.73	1	21.1785836	24.793439300000003	25.21088246	3	1	1.074237728	0.0010793160039999999
6	1811	020	7.62	5.12	0	26.72615027	29.87601141	30.29184574	2	1	0.745528231	0.001084222
7	9429	331	2.68	5.63	1	31.80870311	35.12335389	35.53991825	1	1	0.722217241	0.001385272997
8	8350	003	7.18	5.18	0	37.05617652	40.68894124	41.105199799999994	3	1	0.684739725	0.001145685004
9	9419	331	2.55	5.19	1	42.62089657	46.55343285	46.96973434	1	1	0.732152743	0.001133325997
10	9903	020	2.36	5.71	0	48.48568728	51.76810507	52.16819677	2	1	0.772885908	0.001047981001
11	2160	232	7.58	5.16	1	53.68451733	57.34948806	57.76666186	3	1	1.1501242440000001	0.001105816002
12	9810	212	2.09	6.62	1	59.2820566	62.631207700000004	63.04826081	1	1	0.7886620670000001	0.001037019996
13	3350	020	1.88	5.72	0	64.56411546	68.12918514	68.54567437	2	1	0.668039072	0.001132133002
14	2347	331	7.83	5.56	1	70.06186335	73.31135984	73.72768105	1	1	0.654314069	0.001332562002
15	2484	003	5.0	3.75	0	75.24409617	78.57636262	78.99252487	3	1	0.628393608	0.001038505994
16	5833	003	8.22	5.71	0	80.50844006	84.15735854	84.57414417	3	1	0.719347356	0.001146358998
17	7058	212	5.29	3.98	1	86.0903688	89.17265301	89.58940382	1	1	0.8640530009999999	0.0011232619950000001
18	3261	112	1.82	5.75	1	91.10551073	95.0536242	95.47035424	2	1	1.119145182	0.001120595
19	2002	003	4.95	3.35	0	96.97044674	100.40229690000001	100.8191228	3	1	0.57060148	0.001129169003
20	6570	131	2.19	6.24	1	102.33528740000001	105.95005549999999	106.3667499	3	1	0.8393721890000001	0.001366423996
21	2214	331	5.01	3.46	1	107.883342	110.93274	111.3485813	1	1	0.721398608	0.001378712004
22	4607	100	7.03	6.34	0	112.86450740000001	116.1801721	116.59666659999999	1	1	0.64092548	0.001125412004
23	8090	112	7.02	5.71	1	118.11289280000001	121.2293014	121.64547890000001	2	1	0.776426975	0.001168032002
24	6570	020	2.19	6.24	0	123.161394	126.6598994	127.07711440000001	2	1	0.6397518529999999	0.0010181060060000002
25	1811	131	7.62	5.12	1	128.5927784	132.0919198	132.5080358	3	1	0.697507456	0.0010982749950000001
26	9419	003	2.55	5.19	0	134.0241604	137.60628280000003	138.02299119999998	3	1	0.702027492	0.001051097002
27	2440	221	4.49	2.63	1	139.53924809999998	143.0213967	143.4382351	1	1	0.727246963	0.001109491001
28	8501	112	7.91	6.44	1	144.95431409999998	148.36981799999998	148.7868678	2	1	0.842678162	0.001135151004
29	9429	003	2.68	5.63	0	150.30267369999999	153.81776059999999	154.2344221	3	1	0.587157162	0.001115889005
30	5910	311	7.8	5.59	1	155.75032180000002	158.8335599	159.249696	3	1	0.843653513	0.001130339995
31	4520	100	6.16	4.8	0	160.7657017	164.0151138	164.4313233	1	1	0.701705143	0.001055289998
32	2484	232	5.0	3.75	1	165.9470696	168.97954219999997	169.39604369999998	3	1	0.889890656	0.001135892999
33	3015	100	1.52	5.9	0	170.9124118	174.9113947	175.3272046	1	1	0.606086841	0.0011134329979999998
34	2495	020	5.22	3.19	0	176.8434788	180.7089903	181.12562480000003	2	1	0.6080026470000001	0.001343374999
35	7021	211	5.21	4.17	1	182.64214990000002	185.9746331	186.3909628	2	1	0.862505869	0.001093033003
36	8080	003	7.73	6.65	0	187.90649130000003	191.4552946	191.8717941	3	1	0.669976014	0.001147903997
37	6263	232	2.48	6.62	1	193.3886865	197.3033597	197.7199811	3	1	0.869365177	0.001083605996
38	2102	332	5.16	3.03	1	199.2360368	202.4353882	202.8516611	2	1	0.810179825	0.001143948
39	2347	020	7.83	5.56	0	204.3682736	207.46679640000002	207.8831896	2	1	0.562143782	0.001097508
40	5534	322	4.84	3.14	1	209.400027	213.3149777	213.73122220000002	3	1	0.881907015	0.001091202001
41	9810	100	2.09	6.62	0	215.2473442	218.9297212	219.34607290000002	1	1	0.571735229	0.0013527339980000002
42	9414	233	2.06	6.49	1	220.86224280000002	224.41108549999998	224.82841519999997	2	1	1.0332500740000001	0.001317769995
43	8492	313	7.21	7.31	1	226.343888	229.79314480000002	230.20987680000002	1	1	0.8271867509999999	0.001074902
44	2799	100	2.42	5.02	0	231.7253637	235.40804359999998	235.82461329999998	1	1	0.61318786	0.001123734
45	3215	311	2.51	5.44	1	237.3407707	241.0059341	241.4221829	3	1	0.887735933	0.001156637001
46	7130	331	4.77	3.35	1	242.9384505	246.50428959999996	246.9203801	1	1	0.917267043	0.001129872995
47	2381	020	5.25	3.04	0	248.4371099	251.8859048	252.3018885	2	1	0.711020757	0.001033961998
48	9903	322	2.36	5.71	1	253.81821639999998	257.7008784	258.1170385	3	1	0.776524117	0.001152420002
49	2570	020	4.78	2.76	0	259.633402	263.48230970000003	263.8980704	2	1	0.7076975209999999	0.001135087005
50	2730	332	2.45	6.8	1	265.4143616	268.51370069999996	268.929681	x	-1	-1.0	0.0
51	7508	100	7.02	5.09	0	270.4460175	274.2113841	274.62859360000004	1	1	0.528844845	0.001210921
52	2002	313	4.95	3.35	1	276.1448166	279.6096216	280.0261672	1	1	0.875674064	0.0011414699980000001
53	5470	211	7.35	6.02	1	281.54276269999997	285.09200039999996	285.5078932	2	1	0.897731472	0.001116464002
54	7025	100	4.63	2.71	0	287.0240784	290.40619280000004	290.82290710000007	1	1	0.558763644	0.001359285001
55	7508	232	7.02	5.09	1	292.33905550000003	295.92097160000003	296.33759110000005	3	1	1.075968547	0.001128774995
56	7270	331	7.53	5.76	1	297.8539173	301.403093	301.8192288	1	1	0.7617761009999999	0.0010606319990000002
57	2200	003	4.79	3.18	0	303.33509510000005	307.2506785	307.6673928	3	1	0.593941201	0.001106721
