trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	8420	003	7.76	5.56	0	0.0	3.490133647	3.8909033460000004	3	1	0.9195040093000001	0.001351435007
2	9070	332	5.01	3.63	1	5.39382354	8.416362188999999	8.81713899	2	1	1.112802872	0.0011203510000000001
3	8180	100	7.12	6.59	0	10.336765199999999	14.24437783	14.64515918	1	1	0.6607717772	0.001289808002
4	3062	020	1.87	5.78	0	16.14807165	19.29902416	19.71647429	2	1	0.692918092	0.001054326007
5	8540	233	7.48	5.16	1	21.23164455	24.48062475	24.89717297	2	1	0.833056015	0.001141250999
6	9560	100	2.12	5.5	0	26.41331431	29.59577573	30.01216999	1	1	0.541271898	0.0010695680030000001
7	2205	020	1.95	4.53	0	31.52832964	35.09403366	35.5103956	2	1	0.515805871	0.001153035999
8	2487	112	5.2	4.05	1	37.02655267	40.55861822	40.97509511	2	1	1.282072776	0.001016831004
9	9908	212	2.34	6.63	1	42.49129584	45.89021343	46.30674846	1	1	0.7189822090000001	0.001218203004
10	2208	100	7.35	5.68	0	47.82293115	51.07184621	51.48846479	1	1	0.457573509	0.001142652
11	2710	020	2.52	5.46	0	53.00551444	56.55343705	56.96994826	2	1	0.47191662100000004	0.001119578999
12	2717	232	2.58	5.7	1	58.48612626	61.53509367	61.95170691	3	1	0.946108792	0.001120136003
13	5600	112	7.57	5.19	1	63.46812138	67.28404436	67.70047082	2	1	0.7648080540000001	0.001025761994
14	6350	003	1.9	7.29	0	69.21590925	72.53162555	72.94807796	3	1	0.901626385	0.0011188400019999998
15	2840	100	4.91	2.43	0	74.46423958	77.81314741	78.22959865	1	1	0.49979301600000003	0.001081691
16	1710	212	8.34	5.41	1	79.74674793	83.19492568	83.61116705	1	1	0.694526394	0.001114371
17	2190	003	4.83	2.41	0	85.12734785	88.47618142	88.89277764	3	1	0.468736511	0.001114280996
18	8300	313	7.02	6.14	1	90.40888806	93.72453985	94.14196465	1	1	0.9072852840000001	0.001049056002
19	5535	100	4.81	4.11	0	95.65719599	99.05611859	99.472655	1	1	0.481790851	0.0013902639980000002
20	7330	020	7.69	5.14	0	100.98883000000001	104.95433429999999	105.3714718	2	1	0.6149589089999999	0.001392586004
21	8200	232	7.54	6.35	1	106.8868537	110.0024604	110.4190345	3	1	0.5986048279999999	0.001148641997
22	9800	100	2.04	6.05	0	111.93631189999999	115.0842039	115.50071640000002	1	1	0.540795211	0.001073769003
23	7100	221	5.24	2.89	1	117.01780759999998	120.44905829999999	120.8655572	1	1	0.664275018	0.001118808003
24	9940	020	1.62	7.15	0	122.38175279999999	125.46402820000002	125.8806117	2	1	0.656907884	0.001065244003
25	7032	003	4.82	3.18	0	127.39675940000001	130.9456118	131.36212120000002	3	1	0.567445132	0.001132860001
26	7632	221	5.22	4.78	1	132.8782795	135.9112305	136.3271674	1	1	0.634274701	0.001101494003
27	2154	100	8.03	4.48	0	137.843333	140.993256	141.4088592	1	1	0.45748185	0.001371951003
28	2710	322	2.52	5.46	1	142.92501230000002	145.9406534	146.3572206	3	1	0.669022521	0.0013648640020000001
29	2393	020	4.87	2.93	0	147.8733867	151.3055329	151.7221346	2	1	0.439356326	0.0010643970020000001
30	2441	003	4.64	3.62	0	153.23825269999998	156.98797	157.40353580000001	3	1	0.46162364100000003	0.001044627999
31	3062	131	1.87	5.78	1	158.9197283	162.31858799999998	162.73513799999998	3	1	1.106788157	0.0011299909970000001
32	3195	020	2.06	6.36	0	164.25127880000002	167.98437819999998	168.40006259999998	2	1	0.553415421	0.001089443002
33	9700	313	4.77	3.21	1	169.91611709999998	173.7482333	174.16474730000002	1	1	0.629506738	0.001148700998
34	9421	211	2.21	5.04	1	175.6813638	179.5795974	179.9961696	2	1	0.781157478	0.001027667
35	2377	003	5.19	3.5	0	181.5122929	185.52764380000002	185.9441658	3	1	0.47353892200000003	0.0010931180000000001
36	7036	322	4.88	3.32	1	187.4608578	191.2423893	191.6589687	3	1	0.702813499	0.0011167519990000002
37	3160	100	2.63	5.35	0	193.17515580000003	196.7073214	197.12477130000002	1	1	0.5568606429999999	0.0011004679979999999
38	9560	232	2.12	5.5	1	198.6402086	201.8390566	202.2555066	3	1	1.050242291	0.0012014760000000001
39	9700	020	4.77	3.21	0	203.7716243	206.85401769999999	207.2704758	2	1	0.698991267	0.001064488999
40	9920	003	2.5	5.76	0	208.7866634	211.90235890000002	212.3188883	3	1	0.5474121710000001	0.00139035
41	9000	313	2.55	4.06	1	213.8350482	217.61804930000002	218.03366549999998	1	1	0.648042511	0.001107983
42	7497	020	5.19	4.97	0	219.54984359999997	222.91570330000002	223.3318611	2	1	0.557297304	0.0010223979989999999
43	9421	020	2.21	5.04	0	224.84802430000002	228.6134511	229.02996040000002	2	1	0.467943536	0.0011388190029999999
44	7484	212	4.99	4.24	1	230.54617940000003	234.0450079	234.46155269999997	1	1	0.651781539	0.001063110998
45	2224	211	7.24	4.85	1	235.97774180000002	239.92637620000002	240.3429216	2	1	0.8909272020000001	0.001122186004
