trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	2799	221	2.42	5.02	1	0.0	3.540189607	3.940978774	1	1	0.8901313756	0.001320019001
2	2516	311	4.9	3.5	1	5.443884409	9.258690496	9.675735723999999	3	1	0.787015338	0.001100957001
3	9250	003	2.57	6.6	0	11.19135019	14.29042613	14.70678476	3	1	0.604082762	0.001287258994
4	4520	332	6.16	4.8	1	16.22302169	20.03842792	20.45587594	2	1	1.0305934209999998	0.001073747
5	9322	322	2.24	5.73	1	21.97113841	24.98681076	25.404116000000002	3	1	0.6902645059999999	0.001083371004
6	1811	020	7.62	5.12	0	26.91949599	30.40203836	30.81819601	2	1	0.652972743	0.001513168994
7	9429	331	2.68	5.63	1	32.33436313	35.49997614	35.91656721	1	1	0.713796092	0.001079731002
8	8350	003	7.18	5.18	0	37.43267575	40.96489013	41.38137458	3	1	0.729641744	0.001141068999
9	9419	331	2.55	5.19	1	42.89754363	46.66308301	47.0795282	1	1	0.7035676670000001	0.001365208998
10	9903	020	2.36	5.71	0	48.59567447	51.84461916	52.26116782	2	1	0.529197563	0.0010894989969999999
11	2160	232	7.58	5.16	1	53.77733332	57.02623038	57.44277497	3	1	0.940187813	0.0011276910009999999
12	9810	212	2.09	6.62	1	58.95989432	62.04192593	62.45777748	1	1	0.676438746	0.001031702996
13	3350	020	1.88	5.72	0	63.97403477	67.07298009	67.49040334	2	1	0.732016892	0.001094628002
14	2347	331	7.83	5.56	1	69.00567193	72.27133945	72.68777347	1	1	0.751325122	0.001357688001
15	2484	003	5.0	3.75	0	74.20392589	78.20259787	78.61918612	3	1	0.6197332839999999	0.001304880003
16	5833	003	8.22	5.71	0	80.1352855	83.48416725	83.90073298	3	1	0.529617318	0.001092110993
17	7058	212	5.29	3.98	1	85.41746934	88.50015529	88.91575774	1	1	0.698389335	0.0010394689960000001
18	3261	112	1.82	5.75	1	90.43189416	94.39724633	94.81378062	2	1	1.1763529209999999	0.001033806002
19	2002	003	4.95	3.35	0	96.32991806	99.69556111	100.1122004	3	1	0.71075898	0.0011267579979999998
20	6570	131	2.19	6.24	1	101.62826679999999	105.24362260000001	105.66020290000002	3	1	0.714230404	0.001115405001
21	2214	331	5.01	3.46	1	107.17637820000002	110.5754139	110.9918263	1	1	0.742360323	0.0010521720029999999
22	4607	100	7.03	6.34	0	112.50893810000001	115.8904051	116.29048929999999	1	1	0.54832292	0.001135797
23	8090	112	7.02	5.71	1	117.80671799999999	121.7382981	122.1548153	2	1	0.875906608	0.001210321003
24	6570	020	2.19	6.24	0	123.6710081	127.2366467	127.65298419999999	2	1	0.577493526	0.001095024003
25	1811	131	7.62	5.12	1	129.1701242	132.6846591	133.10118500000002	3	1	0.721834298	0.001359870002
26	9419	003	2.55	5.19	0	134.6173767	137.7663904	138.1828685	3	1	0.559514363	0.001063506999
27	2440	221	4.49	2.63	1	139.69910019999998	142.7147186	143.13121280000001	1	1	0.810973893	0.0010283830049999999
28	8501	112	7.91	6.44	1	144.64739740000002	148.0805468	148.496156	2	1	0.870514536	0.001085898999
29	9429	003	2.68	5.63	0	150.0123234	153.1955384	153.6111446	3	1	0.739771345	0.0011412800010000002
30	5910	311	7.8	5.59	1	155.1282345	158.7603684	159.17593730000002	3	1	0.678466572	0.001100298003
31	4520	100	6.16	4.8	0	160.6921544	164.4909696	164.907585	1	1	0.571141707	0.001091414
32	2484	232	5.0	3.75	1	166.42358330000002	170.3889137	170.8054664	3	1	0.825139909	0.001100788999
33	3015	100	1.52	5.9	0	172.32166919999997	175.4206279	175.83713459999998	1	1	0.6653685570000001	0.001088669997
34	2495	020	5.22	3.19	0	177.35393180000003	180.66889819999997	181.08548180000003	2	1	0.785083007	0.001111611993
35	7021	211	5.21	4.17	1	182.60157980000002	185.90145900000002	186.3170023	2	1	0.962144907	0.001353866006
36	8080	003	7.73	6.65	0	187.83322130000002	190.9655067	191.3820933	3	1	0.608095562	0.0010483250010000001
37	6263	232	2.48	6.62	1	192.89822769999998	196.5470337	196.96351669999999	3	1	0.7870036	0.001094421001
38	2102	332	5.16	3.03	1	198.4797281	201.495404	201.895441	2	1	1.111718223	0.001171167001
39	2347	020	7.83	5.56	0	203.39552369999998	207.1101955	207.5267271	2	1	0.552582531	0.001386528995
40	5534	322	4.84	3.14	1	209.0429472	212.1918341	212.6084091	3	1	0.6383728	0.001227815999
41	9810	100	2.09	6.62	0	214.124523	217.8741255	218.28987880000003	1	1	0.524868869	0.001256387004
42	9414	233	2.06	6.49	1	219.8069767	222.8216491	223.2382446	2	1	1.071961735	0.001020531003
43	8492	313	7.21	7.31	1	224.7544079	227.8876486	228.3041831	1	1	0.782453707	0.001183028005
44	2799	100	2.42	5.02	0	229.8193994	233.2682861	233.6847739	1	1	0.585420438	0.0010482879949999999
45	3215	311	2.51	5.44	1	235.2019042	238.41652569999997	238.8330866	3	1	0.87817572	0.0013741529980000001
46	7130	331	4.77	3.35	1	240.3492406	244.0314179	244.44887110000002	1	1	0.741525102	0.001095066
47	2381	020	5.25	3.04	0	245.9650305	249.6629086	250.07940809999997	2	1	0.551549937	0.0011372719960000002
48	9903	322	2.36	5.71	1	251.5957361	255.5609386	255.9774839	3	1	0.63724482	0.001116697
49	2570	020	4.78	2.76	0	257.4945931	260.69352169999996	261.09339539999996	2	1	0.504802639	0.001051972002
50	2730	332	2.45	6.8	1	262.6086199	265.7251944	266.1407702	2	1	0.754386546	0.001189973002
51	7508	100	7.02	5.09	0	267.6578923	270.70592339999996	271.1224393	1	1	0.540987411	0.001390617996
52	2002	313	4.95	3.35	1	272.638616	276.0875402	276.5040553	1	1	0.958512114	0.001176072998
53	5470	211	7.35	6.02	1	278.020167	281.7856379	282.2023185	2	1	0.8601129240000001	0.0010701719950000001
54	7025	100	4.63	2.71	0	283.71927939999995	286.73398619999995	287.1505769	1	1	0.512505416	0.001151267999
55	7508	232	7.02	5.09	1	288.66673210000005	292.3821118	292.7986971	3	1	0.8166969820000001	0.0014064610000000001
56	7270	331	7.53	5.76	1	294.3148774	297.7637497	298.1811831	1	1	0.641417314	0.001081508999
57	2200	003	4.79	3.18	0	299.6965756	303.1453027	303.5617608	3	1	0.5087197139999999	0.001087826
58	2216	100	7.57	5.83	0	305.07795600000003	308.5777637	308.9934027	1	1	0.485674655	0.0011435389969999999
59	8370	131	7.77	6.73	1	310.5095689	313.8591151	314.2591979	3	1	0.7310388309999999	0.001040246003
60	7041	313	4.99	2.6	1	315.7744695	319.3399619	319.75646539999997	1	1	0.561651268	0.001037435002
