trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	8420	003	7.76	5.56	0	-0.9833	5.0312	5.7476	3	1	1.7999	0.0001
2	9070	332	5.01	3.63	1	8.38	12.3953	13.1117	2	1	1.4042999999999992	0.0001
3	8180	100	7.12	6.59	0	15.7442	20.7591	21.4755	1	1	1.1809000000000012	0.0008
4	3062	020	1.87	5.78	0	22.7917	25.8074	26.5238	2	1	1.7105999999999995	0.0001
5	8540	233	7.48	5.16	1	29.1562	35.1708	35.8872	2	1	1.846899999999998	0.0001
6	9560	100	2.12	5.5	0	38.5197	42.5349	43.2514	1	1	0.857600000000005	0.0009
7	2205	020	1.95	4.53	0	44.5676	49.5825	50.299	2	1	1.1221999999999994	0.0007
8	2487	112	5.2	4.05	1	51.6152	54.6308	55.3472	2	1	1.4960999999999984	0.0001
9	9908	212	2.34	6.63	1	57.9796	62.9946	63.711	1	1	1.428600000000003	0.0001
10	2208	100	7.35	5.68	0	66.3434	71.3584	72.0748	1	1	1.3928000000000083	0.0001
11	2710	020	2.52	5.46	0	74.7072	77.7229	78.4393	2	1	0.9654999999999916	0.0009
12	2717	232	2.58	5.7	1	79.7721	82.7878	83.5042	1	0	1.0411000000000001	0.0009
13	5600	112	7.57	5.19	1	84.8204	88.8357	89.5521	2	1	1.4618000000000109	0.0001
14	6350	003	1.9	7.29	0	92.1845	96.1998	96.9162	3	1	2.7068999999999903	0.0001
15	2840	100	4.91	2.43	0	99.5487	104.5636	105.28	1	1	1.1867000000000019	0.0009
16	1710	212	8.34	5.41	1	106.5962	109.6119	110.3283	1	1	1.3881999999999977	0.0001
17	2190	003	4.83	2.41	0	112.9607	118.9753	119.6917	3	1	1.0246000000000066	0.0009
18	8300	313	7.02	6.14	1	121.0079	125.0232	125.7396	1	1	1.179700000000011	0.0008
19	5535	100	4.81	4.11	0	127.0559	131.0712	131.7876	1	1	1.2095999999999947	0.0009
20	7330	020	7.69	5.14	0	133.1038	139.1184	139.8348	2	1	1.0841000000000065	0.0009
21	8200	232	7.54	6.35	1	141.1677	146.1826	146.899	3	1	1.5353000000000065	0.0001
