trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	8420	003	7.76	5.56	0	-0.7501	5.2644	5.9809	3	1	0.7572000000000001	0.0008
2	9070	332	5.01	3.63	1	7.2971	11.3124	12.0288	2	1	1.4590999999999994	0.0001
3	8180	100	7.12	6.59	0	14.6611	20.6758	21.3922	1	1	0.6423000000000023	0.0009
4	3062	020	1.87	5.78	0	22.7084	27.7234	28.4398	2	1	0.8914999999999971	0.0008
5	8540	233	7.48	5.16	1	29.756	34.771	35.4874	1	0	0.8904999999999959	0.0009
6	9560	100	2.12	5.5	0	36.8036	39.8192	40.5356	1	1	0.6859999999999999	0.0009
7	2205	020	1.95	4.53	0	41.8515	45.8671	46.5835	2	1	0.6691999999999965	0.0009
8	2487	112	5.2	4.05	1	47.8997	51.915	52.6315	2	1	1.4334999999999951	0.0001
9	9908	212	2.34	6.63	1	55.2639	61.2785	61.9949	1	1	0.8979999999999961	0.0007
10	2208	100	7.35	5.68	0	63.3278	69.3424	70.0588	1	1	0.6152000000000015	0.0009
11	2710	020	2.52	5.46	0	71.3917	75.407	76.1234	2	1	0.9253999999999962	0.0009
12	2717	232	2.58	5.7	1	77.4396	80.4552	81.1716	3	1	1.4709000000000003	0.0001
13	5600	112	7.57	5.19	1	83.8041	87.8193	88.5358	2	1	1.1223000000000098	0.0008
14	6350	003	1.9	7.29	0	89.852	94.8669	95.5833	3	1	0.6994000000000113	0.0009
15	2840	100	4.91	2.43	0	96.9162	100.9315	101.6479	1	1	0.7440999999999889	0.0008
16	1710	212	8.34	5.41	1	102.9641	107.9791	108.6955	1	1	1.1026000000000096	0.0008
17	2190	003	4.83	2.41	0	110.0117	116.0263	116.7427	3	1	0.6020000000000039	0.0008
18	8300	313	7.02	6.14	1	118.0589	123.0739	123.7903	2	0	0.9292999999999978	0.0009
19	5535	100	4.81	4.11	0	125.1065	128.1221	128.8386	1	1	0.7089999999999748	0.0008
20	7330	020	7.69	5.14	0	130.1548	135.1697	135.8861	2	1	0.8488000000000113	0.0008
21	8200	232	7.54	6.35	1	137.219	140.2346	140.9511	3	1	1.3618999999999915	0.0001
22	9800	100	2.04	6.05	0	143.5835	148.5984	149.3148	1	1	0.5605000000000189	0.0007
23	7100	221	5.24	2.89	1	150.6311	153.6467	154.3631	1	1	0.9496000000000038	0.0009
24	9940	020	1.62	7.15	0	155.696	159.7113	160.4277	2	1	0.6973000000000127	0.0008
25	7032	003	4.82	3.18	0	161.7439	164.7595	165.4759	3	1	0.5707999999999913	0.0008
26	7632	221	5.22	4.78	1	166.7922	172.8068	173.5232	1	1	1.1170999999999935	0.0007
27	2154	100	8.03	4.48	0	174.8561	180.8707	181.5871	1	1	0.6311000000000035	0.0008
28	2710	322	2.52	5.46	1	182.9033	188.9179	189.6343	3	1	1.4742999999999995	0.0001
29	2393	020	4.87	2.93	0	192.2667	198.2813	198.9977	2	1	0.7512999999999863	0.0008
30	2441	003	4.64	3.62	0	200.3306	203.3462	204.0627	3	1	0.6548999999999978	0.001
31	3062	131	1.87	5.78	1	205.3789	209.3942	210.1106	3	1	1.4036999999999864	0.0001
32	3195	020	2.06	6.36	0	212.743	217.758	218.4744	2	1	0.9303999999999917	0.0008
33	9700	313	4.77	3.21	1	219.7906	222.8062	223.5226	1	1	1.054000000000002	0.0009
34	9421	211	2.21	5.04	1	224.8389	230.8535	231.5699	2	1	1.0848000000000013	0.0008
35	2377	003	5.19	3.5	0	232.9027	238.9173	239.6338	3	1	0.6767999999999859	0.0008
36	7036	322	4.88	3.32	1	240.95	245.9649	246.6813	3	1	1.2228000000000065	0.0008
37	3160	100	2.63	5.35	0	247.9975	252.0128	252.7293	1	1	0.7370999999999981	0.0007
38	9560	232	2.12	5.5	1	254.0455	259.0604	259.7768	3	1	1.0801000000000158	0.0008
39	9700	020	4.77	3.21	0	261.093	265.1083	265.8247	2	1	0.7977000000000203	0.0008
40	9920	003	2.5	5.76	0	267.141	272.1559	272.8723	3	1	0.8281000000000063	0.0009
41	9000	313	2.55	4.06	1	274.1885	279.2035	279.9199	1	1	1.3740000000000236	0.0001
42	7497	020	5.19	4.97	0	282.5523	287.5673	288.2837	2	1	0.8224999999999909	0.0009
43	9421	020	2.21	5.04	0	289.5999	292.6155	293.3319	2	1	0.6961000000000013	0.0008
44	7484	212	4.99	4.24	1	294.6482	298.6634	299.3799	1	1	0.8041999999999803	0.0009
45	2224	211	7.24	4.85	1	300.6961	306.7107	307.4271	2	1	1.0536000000000172	0.0008
46	3181	100	2.3	5.06	0	308.7433	311.7589	312.4754	1	1	0.6770999999999958	0.0008
47	7032	332	4.82	3.18	1	313.7916	317.8069	318.5233	2	1	0.9884000000000128	0.0009
48	2208	211	7.35	5.68	1	319.8394	325.8541	326.5705	2	1	0.9566000000000372	0.0008
49	7004	100	5.04	2	0	327.8867	332.9016	333.6181	1	1	0.7838999999999601	0.0009
50	2071	311	7.86	5	1	334.951	339.9659	340.6823	3	1	1.1258000000000266	0.0008
51	7405	100	7.38	6.28	0	341.9985	348.0131	348.7295	1	1	0.6253000000000384	0.0007
52	3110	331	1.79	6.7	1	350.0458	356.0604	356.7768	1	1	1.1246000000000436	0.0008
53	8503	020	7.02	5.22	0	358.093	361.1086	361.825	2	1	0.8575999999999908	0.0008
54	3181	112	2.3	5.06	1	363.1412	369.1558	369.8723	2	1	1.1850999999999772	0.0008
55	3059	100	1.81	6.48	0	371.1885	377.2031	377.9195	1	1	0.793899999999951	0.0009
56	8496	112	7.58	5.79	1	379.2357	383.251	383.9674	2	1	1.245900000000006	0.0007
57	6260	221	2.44	6.93	1	385.2836	389.2989	390.0153	1	1	0.9790999999999599	0.0008
58	7484	100	4.99	4.24	0	391.3315	395.3468	396.0632	1	1	0.8217000000000212	0.0008
59	8420	332	7.76	5.56	1	397.3794	401.3947	402.1111	2	1	1.601699999999994	0.0001
60	2840	232	4.91	2.43	1	404.7436	407.7592	408.4756	3	1	1.0184000000000424	0.001
61	8170	020	7.63	6.12	0	409.8085	414.8234	415.5398	2	1	0.8290000000000077	0.0008
62	2377	311	5.19	3.5	1	416.8561	419.8717	420.5881	3	1	0.9680999999999926	0.0009
63	3195	311	2.06	6.36	1	421.921	425.9363	426.6527	3	1	1.0440000000000396	0.0009
64	7002	100	4.97	3.16	0	427.9689	430.9845	431.701	1	1	0.6830999999999676	0.0007
65	5535	131	4.81	4.11	1	433.0338	438.0488	438.7652	3	1	1.0561999999999898	0.0008
66	4220	311	6.6	5.18	1	440.0814	446.096	446.8124	3	1	0.8837999999999511	0.0009
67	6230	100	2.37	7.35	0	448.1453	454.1599	454.8763	1	1	0.7730999999999995	0.0007
68	2272	131	4.5	3.74	1	456.1925	460.2078	460.9242	3	1	1.037300000000016	0.0009
69	3059	331	1.81	6.48	1	462.2404	468.255	468.9714	1	1	0.9898999999999774	0.0008
70	9000	003	2.55	4.06	0	470.2877	476.3023	477.0187	-3	-1	-1	-1
71	7002	313	4.97	3.16	1	479.6511	482.6667	483.3832	1	1	1.3278000000000247	0.0001
72	8300	003	7.02	6.14	0	486.0156	490.0309	490.7473	3	1	1.0260000000000105	0.0008
73	2487	100	5.2	4.05	0	492.0634	496.0788	496.7952	1	1	1.681099999999958	0.0001
74	3530	211	1.8	6.82	1	499.4276	503.4429	504.1593	2	1	1.660600000000045	0.0001
75	8380	020	7.56	5.74	0	506.7918	511.8067	512.5231	-3	-1	-1	-1
76	2210	100	4.7	3.08	0	515.1555	521.1701	521.8866	1	1	1.4640999999999167	0.0001
77	8503	221	7.02	5.22	1	524.519	527.5346	528.251	3	0	1.0995000000000346	0.0008
78	7037	020	4.81	3.71	0	529.5839	534.5988	535.3153	2	1	2.1288000000000693	0.0001
79	2272	003	4.5	3.74	0	537.9477	541.963	542.6794	3	1	0.7490000000000236	0.0008
80	2154	212	8.03	4.48	1	544.0123	549.0272	549.7436	1	1	0.9189999999999827	0.0008
81	2210	211	4.7	3.08	1	551.0598	554.0755	554.7919	2	1	1.1517999999999802	0.0009
82	2717	020	2.58	5.7	0	556.1248	560.1401	560.8565	2	1	0.8057999999999765	0.0008
83	4670	003	6.99	6.74	0	562.1727	567.1876	567.904	3	1	0.8831000000000131	0.0009
84	8470	331	7.74	6.14	1	569.2369	573.2522	573.9686	1	1	0.9589999999999463	0.0009
85	9927	003	2.71	5.29	0	575.2848	581.2994	582.0159	3	1	0.7084999999999582	0.0008
86	2595	003	4.88	3.71	0	583.3321	588.347	589.0634	3	1	1.1450999999999567	0.0008
87	2190	212	4.83	2.41	1	590.3796	593.3953	594.1117	1	1	1.0498000000000047	0.001
88	2071	003	7.86	5	0	595.4446	601.4592	602.1756	3	1	0.6106999999999516	0.0008
89	8180	331	7.12	6.59	1	603.4918	607.5071	608.2235	1	1	0.9845000000000255	0.0009
90	9220	003	2.06	4	0	609.5564	613.5717	614.2881	3	1	0.6230000000000473	0.0007
91	2441	331	4.64	3.62	1	615.6043	620.6192	621.3357	1	1	1.0596000000000458	0.0008
92	5629	100	7.03	6.55	0	622.6519	625.6675	626.3839	1	1	0.8393999999999551	0.0008
93	8030	332	7.33	7.35	1	627.7001	631.7154	632.4318	2	1	1.9319000000000415	0.0001
94	7014	100	5.15	3.25	0	635.0643	640.0792	640.7956	1	1	1.0108000000000175	0.0008
