trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	2799	221	2.42	5.02	1	-0.9833	2.0322	2.7486	3	0	0.9824999999999999	0.0009
2	2516	311	4.9	3.5	1	4.0815	8.0968	8.8132	3	1	1.2280999999999995	0.0008
3	9250	003	2.57	6.6	0	10.1294	13.1451	13.8615	3	1	0.7911999999999999	0.0009
4	4520	332	6.16	4.8	1	15.1777	18.1933	18.9097	2	1	1.0242000000000004	0.0008
5	9322	322	2.24	5.73	1	20.2259	26.2405	26.957	2	0	1.3488000000000007	0.0001
6	1811	020	7.62	5.12	0	29.5894	33.6047	34.3211	2	1	0.7686999999999955	0.0008
7	9429	331	2.68	5.63	1	35.654	39.6692	40.3857	1	1	1.1884000000000015	0.0008
8	8350	003	7.18	5.18	0	41.7019	44.7175	45.4339	3	1	0.8588000000000022	0.0008
9	9419	331	2.55	5.19	1	46.7501	51.7651	52.4815	1	1	0.8267000000000024	0.0008
10	9903	020	2.36	5.71	0	53.7977	59.8123	60.5287	2	1	0.7792999999999992	0.0008
11	2160	232	7.58	5.16	1	61.8449	64.8606	65.577	3	1	1.1214999999999975	0.0008
12	9810	212	2.09	6.62	1	66.8932	72.9078	73.6242	1	1	0.8241000000000014	0.0008
13	3350	020	1.88	5.72	0	74.9404	80.955	81.6714	2	1	0.698599999999999	0.0008
14	2347	331	7.83	5.56	1	83.0043	86.0199	86.7364	1	1	0.89909999999999	0.0009
15	2484	003	5	3.75	0	88.0692	93.0842	93.8006	3	1	0.819199999999995	0.0008
16	5833	003	8.22	5.71	0	95.1168	100.1318	100.8482	3	1	0.6619999999999919	0.0008
17	7058	212	5.29	3.98	1	102.1644	107.1793	107.8957	1	1	0.9581000000000017	0.0008
18	3261	112	1.82	5.75	1	109.212	112.2276	112.944	3	0	0.9877999999999929	0.0008
19	2002	003	4.95	3.35	0	114.2602	117.2759	117.9923	3	1	0.7206999999999937	0.0008
20	6570	131	2.19	6.24	1	119.3085	125.3231	126.0395	3	1	1.1732999999999976	0.0008
21	2214	331	5.01	3.46	1	127.3557	133.3703	134.0867	1	1	1.1884000000000015	0.0007
22	4607	100	7.03	6.34	0	135.4029	138.4186	139.135	1	1	0.7494000000000085	0.0008
23	8090	112	7.02	5.71	1	140.4679	144.4831	145.1996	2	1	0.7627999999999986	0.0009
24	6570	020	2.19	6.24	0	146.5158	149.5314	150.2478	2	1	0.5894999999999868	0.0009
