trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	2799	221	2.42	5.02	1	-0.9833	4.0315	4.7479	1	1	0.8148000000000009	0.0007
2	2516	311	4.9	3.5	1	6.0808	9.0964	9.8129	3	1	0.7651999999999983	0.0009
3	9250	003	2.57	6.6	0	11.1457	16.1607	16.8771	3	1	0.7789999999999999	0.0008
4	4520	332	6.16	4.8	1	18.1933	22.2086	22.925	2	1	1.2622	0.0008
5	9322	322	2.24	5.73	1	24.2412	30.2558	30.9722	3	1	0.8866999999999976	0.0008
6	1811	020	7.62	5.12	0	32.2884	35.3041	36.0205	2	1	0.5727000000000046	0.0008
7	9429	331	2.68	5.63	1	37.3367	42.3516	43.0681	1	1	0.7280000000000015	0.0009
8	8350	003	7.18	5.18	0	44.3843	49.3992	50.1156	3	1	0.5242000000000004	0.0008
9	9419	331	2.55	5.19	1	51.4318	54.4475	55.1639	1	1	0.6163999999999987	0.0008
10	9903	020	2.36	5.71	0	56.4967	59.5124	60.2288	2	1	0.5825999999999993	0.001
11	2160	232	7.58	5.16	1	61.5617	66.5766	67.293	3	1	0.8150999999999868	0.0009
12	9810	212	2.09	6.62	1	68.6259	73.6408	74.3573	1	1	0.625700000000009	0.0009
13	3350	020	1.88	5.72	0	75.6735	79.6888	80.4052	2	1	0.5464000000000055	0.0009
14	2347	331	7.83	5.56	1	81.7214	85.7367	86.4531	1	1	0.6233000000000004	0.0009
15	2484	003	5	3.75	0	87.7693	92.7842	93.5007	3	1	0.6068000000000069	0.0009
16	5833	003	8.22	5.71	0	94.8169	100.8315	101.5479	3	1	0.4189000000000078	0.0008
17	7058	212	5.29	3.98	1	102.8808	108.8953	109.6118	1	1	0.6490000000000009	0.0008
18	3261	112	1.82	5.75	1	110.9446	113.9603	114.6767	1	0	0.633499999999998	0.0008
19	2002	003	4.95	3.35	0	116.0096	119.0252	119.7416	3	1	0.47469999999999857	0.001
20	6570	131	2.19	6.24	1	121.0578	127.0724	127.7888	3	1	0.7398999999999916	0.0008
21	2214	331	5.01	3.46	1	129.105	134.12	134.8364	1	1	0.598399999999998	0.0009
22	4607	100	7.03	6.34	0	136.1693	139.1849	139.9013	1	1	0.830299999999994	0.0008
23	8090	112	7.02	5.71	1	141.2175	147.2321	147.9486	3	0	0.7984000000000151	0.0008
24	6570	020	2.19	6.24	0	149.2814	154.2964	155.0128	2	1	0.5307999999999993	0.0009
25	1811	131	7.62	5.12	1	156.329	159.3446	160.061	3	1	0.8422999999999945	0.0009
26	9419	003	2.55	5.19	0	161.3773	167.3919	168.1083	3	1	0.5131999999999834	0.0009
27	2440	221	4.49	2.63	1	169.4245	172.4401	173.1565	1	1	0.683700000000016	0.0008
28	8501	112	7.91	6.44	1	174.4894	180.504	181.2204	2	1	1.2601999999999975	0.0009
29	9429	003	2.68	5.63	0	182.5366	185.5523	186.2687	3	1	0.5399000000000171	0.0009
30	5910	311	7.8	5.59	1	187.5849	193.5995	194.3159	3	1	0.8987999999999943	0.001
31	4520	100	6.16	4.8	0	195.6488	199.6641	200.3805	1	1	0.49029999999999063	0.0008
32	2484	232	5	3.75	1	201.6967	207.7113	208.4277	3	1	0.818000000000012	0.0008
33	3015	100	1.52	5.9	0	209.7606	214.7755	215.4919	1	1	0.47230000000001837	0.0009
34	2495	020	5.22	3.19	0	216.8081	220.8234	221.5399	2	1	0.5649000000000228	0.0009
35	7021	211	5.21	4.17	1	222.8727	228.8873	229.6037	2	1	0.9382999999999981	0.0009
36	8080	003	7.73	6.65	0	230.92	234.9352	235.6517	3	1	0.7809000000000026	0.001
37	6263	232	2.48	6.62	1	236.9679	240.9832	241.6996	3	1	0.7172999999999945	0.0009
38	2102	332	5.16	3.03	1	243.0324	248.0474	248.7638	2	1	0.9653999999999883	0.0008
39	2347	020	7.83	5.56	0	250.0967	253.1123	253.8287	2	1	0.6191000000000031	0.0008
40	5534	322	4.84	3.14	1	255.1448	260.1599	260.8763	3	1	0.8525999999999954	0.0008
41	9810	100	2.09	6.62	0	262.1925	266.2078	266.9242	1	1	0.49209999999999354	0.0008
42	9414	233	2.06	6.49	1	268.2404	272.2557	272.9721	2	1	0.7409000000000106	0.0009
43	8492	313	7.21	7.31	1	274.2883	277.304	278.0204	1	1	0.8331000000000017	0.0009
44	2799	100	2.42	5.02	0	279.3533	282.3689	283.0853	1	1	0.4712000000000103	0.0008
45	3215	311	2.51	5.44	1	284.4015	290.4161	291.1325	3	1	0.7832000000000221	0.0009
46	7130	331	4.77	3.35	1	292.4654	295.481	296.1975	1	1	0.8118000000000052	0.0009
47	2381	020	5.25	3.04	0	297.5137	302.5286	303.245	2	1	0.49860000000001037	0.0007
48	9903	322	2.36	5.71	1	304.5779	308.5932	309.3096	3	1	0.7619000000000256	0.0009
49	2570	020	4.78	2.76	0	310.6258	314.6411	315.3575	2	1	0.5107999999999606	0.0007
50	2730	332	2.45	6.8	1	316.6737	319.6894	320.4058	2	1	0.7989999999999782	0.001
51	7508	100	7.02	5.09	0	321.7386	326.7536	327.47	1	1	0.5073999999999614	0.0009
52	2002	313	4.95	3.35	1	328.7862	334.8008	335.5172	1	1	0.8974999999999795	0.0008
53	5470	211	7.35	6.02	1	336.8334	339.8491	340.5655	2	1	0.833500000000015	0.0009
54	7025	100	4.63	2.71	0	341.8984	344.914	345.6304	1	1	0.487199999999973	0.0008
55	7508	232	7.02	5.09	1	346.9466	351.9616	352.678	3	1	0.9393999999999778	0.0008
56	7270	331	7.53	5.76	1	353.9942	360.0088	360.7252	1	1	0.6733000000000402	0.0007
57	2200	003	4.79	3.18	0	362.0414	368.056	368.7724	2	0	0.6884000000000015	0.0008
58	2216	100	7.57	5.83	0	370.0887	373.1043	373.8207	1	1	0.5149999999999864	0.0008
59	8370	131	7.77	6.73	1	375.1536	379.1689	379.8853	3	1	0.7315000000000396	0.0008
60	7041	313	4.99	2.6	1	381.2181	385.2334	385.9499	1	1	0.6667999999999665	0.0008
61	6263	003	2.48	6.62	0	387.2827	393.2973	394.0137	3	1	0.4934000000000083	0.0009
62	2396	003	4.91	3.34	0	395.33	400.3449	401.0613	3	1	0.5394999999999754	0.0008
63	4607	212	7.03	6.34	1	402.3775	406.3928	407.1092	1	1	1.2571000000000367	0.0007
64	4610	020	7.29	5.1	0	408.4254	412.4407	413.1571	2	1	0.5527999999999906	0.0007
65	9253	232	2	5.53	1	414.4734	419.4883	420.2047	3	1	0.723700000000008	0.001
66	7019	003	5.2	3.36	0	421.5209	426.5359	427.2523	3	1	0.504099999999994	0.0007
67	6563	211	1.77	6.85	1	428.5685	433.5834	434.2998	1	0	0.6907999999999674	0.001
68	8510	003	7.32	4.93	0	435.6161	441.6307	442.3471	3	1	0.5027000000000044	0.0007
69	7044	311	4.69	3.94	1	443.6633	447.6786	448.395	3	1	0.8921000000000276	0.0009
70	8370	100	7.77	6.73	0	449.7112	455.7258	456.4422	1	1	0.45439999999996417	0.0009
71	7019	211	5.2	3.36	1	457.7584	462.7734	463.4898	2	1	0.7814000000000192	0.0008
72	8492	003	7.21	7.31	0	464.8227	470.8373	471.5537	3	1	0.49860000000001037	0.0009
73	5833	313	8.22	5.71	1	472.8866	476.9018	477.6183	1	1	0.6838000000000193	0.0009
74	2102	100	5.16	3.03	0	478.9511	481.9668	482.6832	1	1	0.4782000000000153	0.0009
75	2411	233	5.07	2.86	1	483.9994	489.0143	489.7308	2	1	0.7586000000000013	0.0007
76	8501	100	7.91	6.44	0	491.047	494.0626	494.779	1	1	0.5058999999999969	0.0009
77	4626	020	7.6	5.78	0	496.0952	502.1098	502.8262	2	1	0.537900000000036	0.0008
78	9250	313	2.57	6.6	1	504.1425	509.1574	509.8738	1	1	0.5994999999999777	0.0008
79	8080	233	7.73	6.65	1	511.2067	514.2223	514.9387	2	1	0.65949999999998	0.0009
80	3010	020	1.79	7.26	0	516.2549	522.2695	522.986	2	1	0.48699999999996635	0.0008
81	5470	100	7.35	6.02	0	524.3022	529.3171	530.0335	1	1	0.45489999999995234	0.001
82	7025	232	4.63	2.71	1	531.3497	536.3647	537.0811	3	1	0.9384000000000015	0.001
83	2332	020	7.64	4.3	0	538.3973	542.4126	543.129	2	1	0.5778999999999996	0.0007
84	2440	020	4.49	2.63	0	544.4452	550.4598	551.1763	2	1	0.45230000000003656	0.0008
85	9910	313	2.06	6.2	1	552.4925	557.5074	558.2238	1	1	0.6706000000000358	0.0008
86	2730	100	2.45	6.8	0	559.54	562.5557	563.2721	1	1	0.43430000000000746	0.0009
87	8510	233	7.32	4.93	1	564.605	568.6202	569.3367	2	1	0.6977000000000544	0.0009
88	7130	020	4.77	3.35	0	570.6529	574.6681	575.3846	2	1	0.5247000000000526	0.0006
89	7044	100	4.69	3.94	0	576.7008	579.7164	580.4328	1	1	0.4294999999999618	0.0008
90	9423	311	2.61	5.66	1	581.749	586.764	587.4804	3	1	1.022299999999973	0.0008
91	2514	100	5.19	3.5	0	588.7966	594.8112	595.5276	1	1	0.49059999999997217	0.0009
92	5910	020	7.8	5.59	0	596.8438	599.8595	600.5759	2	1	0.4577999999999065	0.0009
93	9187	112	1.81	6.45	1	601.8921	604.9077	605.6242	2	1	0.8781000000000176	0.0009
94	9435	100	2.27	5	0	606.9404	611.9553	612.6717	1	1	0.4555000000000291	0.0009
95	2880	100	5.18	2.96	0	613.9879	620.0025	620.719	1	1	0.4393000000000029	0.0008
96	2703	332	1.91	5.78	1	622.0352	625.0508	625.7672	2	1	0.7033999999999878	0.0009
97	7041	100	4.99	2.6	0	627.0834	633.098	633.8144	1	1	0.5778999999999996	0.001
98	2703	020	1.91	5.78	0	635.1307	640.1456	640.862	2	1	0.5769999999999982	0.0009
99	5621	332	7.57	6.99	1	642.1782	646.1935	646.9099	2	1	0.7164999999999964	0.0008
100	3015	212	1.52	5.9	1	648.2428	654.2574	654.9738	1	1	0.6836000000000695	0.0009
101	3061	100	2.32	5.28	0	656.3067	661.3216	662.038	1	1	0.47870000000000346	0.0007
102	2411	003	5.07	2.86	0	663.3543	667.3695	668.086	3	1	0.5086000000000013	0.0008
103	4626	211	7.6	5.78	1	669.4022	672.4178	673.1342	2	1	1.0384000000000242	0.0009
104	7021	020	5.21	4.17	0	674.4504	680.465	681.1814	2	1	0.4714999999999918	0.0008
105	3350	221	1.88	5.72	1	682.4977	687.5126	688.229	1	1	0.7401999999999589	0.0009
106	3215	020	2.51	5.44	0	689.5452	693.5605	694.2769	2	1	0.48900000000003274	0.0009
107	2045	100	7.87	5.47	0	695.5932	699.6084	700.3249	1	1	0.4721000000000686	0.0008
108	3061	131	2.32	5.28	1	701.6411	707.6557	708.3721	3	1	1.0809999999999036	0.0008
109	9253	003	2	5.53	0	709.6883	714.7032	715.4197	3	1	0.5331999999999653	0.001
110	2381	112	5.25	3.04	1	716.7525	721.7675	722.4839	2	1	1.078200000000038	0.001
111	9910	003	2.06	6.2	0	723.8001	727.8154	728.5318	3	1	0.5145999999999731	0.0008
112	5534	100	4.84	3.14	0	729.848	733.8633	734.5797	1	1	0.4822000000000344	0.0008
113	8350	322	7.18	5.18	1	735.9126	738.9282	739.6446	3	1	0.6828000000000429	0.0008
114	2200	112	4.79	3.18	1	740.9775	744.9928	745.7092	2	1	0.8524999999999636	0.001
115	7058	003	5.29	3.98	0	747.0254	752.0404	752.7568	3	1	0.5760999999999967	0.0008
116	9435	233	2.27	5	1	754.073	757.0886	757.805	2	1	0.8969000000000733	0.0009
117	6563	020	1.77	6.85	0	759.1213	763.1365	763.853	2	1	0.551900000000046	0.0009
118	2514	212	5.19	3.5	1	765.1858	769.2011	769.9175	1	1	0.6435000000000173	0.0009
119	9322	003	2.24	5.73	0	771.2338	775.249	775.9655	3	1	0.45470000000000255	0.0009
120	7595	221	4.55	3.77	1	777.2817	781.2969	782.0134	1	1	0.6254999999999882	0.0008
121	9423	020	2.61	5.66	0	783.3296	789.3442	790.0606	2	1	0.5312000000000126	0.0009
122	2396	332	4.91	3.34	1	791.3935	797.4081	798.1245	2	1	0.6545999999999594	0.001
123	7270	003	7.53	5.76	0	799.4407	802.4563	803.1727	3	1	0.5751000000000204	0.0007
124	2570	322	4.78	2.76	1	804.489	810.5036	811.22	3	1	0.7931999999999562	0.0009
125	2830	020	4.73	3.64	0	812.5362	818.5508	819.2672	2	1	0.495900000000006	0.0008
126	2045	322	7.87	5.47	1	820.5834	825.5984	826.3148	3	1	0.6667999999999665	0.0009
127	7595	003	4.55	3.77	0	827.6476	830.6633	831.3797	3	1	0.7112000000000762	0.0008
128	2214	100	5.01	3.46	0	832.6959	837.7108	838.4273	1	1	0.46050000000002456	0.0009
129	4610	221	7.29	5.1	1	839.7435	843.7588	844.4752	1	1	0.7404000000000224	0.0008
130	3261	003	1.82	5.75	0	845.7914	851.806	852.5224	3	1	0.4898000000000593	0.0009
131	3010	211	1.79	7.26	1	853.8386	857.8539	858.5703	1	0	1.1761999999999944	0.0008
132	5621	003	7.57	6.99	0	859.8865	865.9011	866.6176	3	1	0.45679999999993015	0.0008
133	2880	131	5.18	2.96	1	867.9338	870.9494	871.6658	3	1	1.0179000000000542	0.0009
134	7502	020	7.75	5.91	0	872.9987	878.0136	878.73	2	1	0.5159999999999627	0.0009
135	9187	100	1.81	6.45	0	880.0629	884.0782	884.7946	1	1	0.4357000000001108	0.0008
136	2332	212	7.64	4.3	1	886.1108	889.1265	889.8429	1	1	0.8716000000000577	0.0009
137	2830	131	4.73	3.64	1	891.1591	894.1747	894.8911	3	1	0.7296000000000049	0.0007
138	9414	100	2.06	6.49	0	896.2074	902.2219	902.9384	1	1	0.47889999999995325	0.0009
139	7502	311	7.75	5.91	1	904.2546	910.2692	910.9856	3	1	0.8378000000000156	0.0008
140	8090	020	7.02	5.71	0	912.3018	915.3174	916.0339	2	1	0.5237999999999374	0.0007
141	2516	020	4.9	3.5	0	917.3501	920.3657	921.0821	2	1	0.49110000000007403	0.0009
142	2216	221	7.57	5.83	1	922.3983	926.4136	927.13	1	1	0.7399000000000342	0.0009
