trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	2799	221	2.42	5.02	1	-0.9835	5.031	5.7474	1	1	0.9220000000000006	0.0008
2	2516	311	4.9	3.5	1	7.0637	11.0789	11.7954	3	1	1.1082	0.0008
3	9250	003	2.57	6.6	0	13.1116	18.1265	18.8429	3	1	0.7948999999999984	0.001
4	4520	332	6.16	4.8	1	20.1591	26.1737	26.8902	2	1	1.3567999999999998	0.0001
5	9322	322	2.24	5.73	1	29.5226	34.5375	35.2539	3	1	1.383499999999998	0.0001
6	1811	020	7.62	5.12	0	37.8864	41.9016	42.6181	2	1	0.956700000000005	0.001
7	9429	331	2.68	5.63	1	43.9343	46.9499	47.6663	1	1	0.9709000000000003	0.0008
8	8350	003	7.18	5.18	0	48.9825	54.9971	55.7135	3	1	0.7984999999999971	0.0009
9	9419	331	2.55	5.19	1	57.0464	60.062	60.7785	1	1	0.8740999999999985	0.0007
10	9903	020	2.36	5.71	0	62.0947	65.1103	65.8267	2	1	0.7788000000000039	0.0009
11	2160	232	7.58	5.16	1	67.1429	71.1582	71.8746	-3	-1	-1	-1
12	9810	212	2.09	6.62	1	74.507	77.5227	78.2391	1	1	1.0224000000000046	0.0008
13	3350	020	1.88	5.72	0	79.5553	84.5702	85.2867	2	1	0.8028000000000048	0.0009
14	2347	331	7.83	5.56	1	86.6029	90.6182	91.3346	1	1	1.0516000000000076	0.0009
15	2484	003	5	3.75	0	92.6674	96.6827	97.3992	3	1	0.7525000000000119	0.0009
16	5833	003	8.22	5.71	0	98.7154	104.73	105.4464	3	1	0.7207000000000079	0.0009
17	7058	212	5.29	3.98	1	106.7626	110.7779	111.4943	1	1	0.8759000000000015	0.0008
18	3261	112	1.82	5.75	1	112.8105	117.8254	118.5419	2	1	1.3436999999999983	0.0001
19	2002	003	4.95	3.35	0	121.1743	124.1899	124.9063	3	1	0.6979000000000042	0.0009
20	6570	131	2.19	6.24	1	126.2392	131.2541	131.9706	1	0	1.1115000000000066	0.001
21	2214	331	5.01	3.46	1	133.2868	136.3024	137.0188	1	1	1.1163999999999987	0.0009
22	4607	100	7.03	6.34	0	138.3517	143.3666	144.0831	1	1	0.8488999999999862	0.0007
23	8090	112	7.02	5.71	1	145.4159	150.4309	151.1473	2	1	1.2220000000000084	0.001
24	6570	020	2.19	6.24	0	152.4635	158.4781	159.1945	2	1	0.8307999999999822	0.0009
25	1811	131	7.62	5.12	1	160.5107	165.5257	166.2421	3	1	1.0175000000000125	0.0009
26	9419	003	2.55	5.19	0	167.5749	172.5899	173.3063	3	1	0.7343999999999937	0.0008
27	2440	221	4.49	2.63	1	174.6392	179.6541	180.3705	1	1	1.0138000000000034	0.0008
28	8501	112	7.91	6.44	1	181.6868	184.7024	185.4188	2	1	1.2466000000000008	0.0008
29	9429	003	2.68	5.63	0	186.735	192.7496	193.466	3	1	0.8242999999999938	0.0008
30	5910	311	7.8	5.59	1	194.7822	198.7975	199.5139	3	1	0.9011999999999887	0.0007
31	4520	100	6.16	4.8	0	200.8468	203.8624	204.5789	1	1	0.7110999999999876	0.0009
32	2484	232	5	3.75	1	205.8951	208.9107	209.6271	3	1	1.100200000000001	0.001
33	3015	100	1.52	5.9	0	210.96	214.9753	215.6917	1	1	0.8168000000000006	0.0007
34	2495	020	5.22	3.19	0	217.0246	223.0392	223.7556	2	1	0.8621000000000265	0.0009
35	7021	211	5.21	4.17	1	225.0718	228.0874	228.8038	2	1	1.1731000000000051	0.001
36	8080	003	7.73	6.65	0	230.1201	234.1353	234.8518	3	1	0.7813000000000159	0.0008
37	6263	232	2.48	6.62	1	236.1846	242.1992	242.9156	3	1	1.0609999999999786	0.0009
38	2102	332	5.16	3.03	1	244.2319	250.2465	250.9629	2	1	1.9273000000000025	0.0001
39	2347	020	7.83	5.56	0	253.5953	256.6109	257.3273	2	1	0.9615000000000009	0.0009
40	5534	322	4.84	3.14	1	258.6436	264.6581	265.3746	3	1	1.226600000000019	0.0008
41	9810	100	2.09	6.62	0	266.6908	271.7057	272.4221	1	1	0.6789999999999736	0.0009
42	9414	233	2.06	6.49	1	273.7383	279.7529	280.4694	2	1	1.193899999999985	0.001
43	8492	313	7.21	7.31	1	281.7856	285.8009	286.5173	1	1	1.2241000000000213	0.0008
44	2799	100	2.42	5.02	0	287.8335	291.8488	292.5652	1	1	1.0197000000000003	0.0009
45	3215	311	2.51	5.44	1	293.8813	296.897	297.6134	3	1	1.1744999999999663	0.0008
46	7130	331	4.77	3.35	1	298.9297	301.9453	302.6617	1	1	1.0792000000000144	0.0008
47	2381	020	5.25	3.04	0	303.9779	309.9925	310.7089	2	1	0.8131999999999948	0.0008
48	9903	322	2.36	5.71	1	312.0252	317.0401	317.7565	3	1	0.9060000000000059	0.0007
49	2570	020	4.78	2.76	0	319.0727	322.0883	322.8048	2	1	0.6856999999999971	0.0008
50	2730	332	2.45	6.8	1	324.121	330.1356	330.852	2	1	1.3258000000000152	0.0001
51	7508	100	7.02	5.09	0	333.4844	337.4997	338.2161	1	1	0.7741000000000327	0.0008
52	2002	313	4.95	3.35	1	339.5323	343.5476	344.264	1	1	1.0072999999999865	0.001
53	5470	211	7.35	6.02	1	345.5803	350.5952	351.3116	2	1	1.1625999999999976	0.0009
54	7025	100	4.63	2.71	0	352.6278	355.6435	356.3599	1	1	0.8643000000000143	0.0008
55	7508	232	7.02	5.09	1	357.6761	363.6907	364.4071	3	1	0.9886999999999944	0.0008
56	7270	331	7.53	5.76	1	365.7233	368.7389	369.4554	1	1	1.0652999999999793	0.0009
57	2200	003	4.79	3.18	0	370.7882	376.8028	377.5192	3	1	0.8294999999999959	0.0008
58	2216	100	7.57	5.83	0	378.8355	382.8507	383.5672	1	1	0.6719999999999686	0.0008
59	8370	131	7.77	6.73	1	384.8834	389.8983	390.6147	3	1	0.9679999999999609	0.0008
60	7041	313	4.99	2.6	1	391.9476	395.9629	396.6793	1	1	1.1533000000000015	0.0008
61	6263	003	2.48	6.62	0	397.9955	403.0105	403.7269	3	1	0.7617999999999938	0.0008
62	2396	003	4.91	3.34	0	405.0431	409.0584	409.7748	3	1	0.6824999999999477	0.0008
63	4607	212	7.03	6.34	1	411.1077	416.1226	416.839	1	1	0.9932000000000016	0.0008
64	4610	020	7.29	5.1	0	418.1552	424.1698	424.8862	2	1	0.7270000000000323	0.0008
65	9253	232	2	5.53	1	426.2025	431.2174	431.9338	3	1	1.0073999999999614	0.0008
66	7019	003	5.2	3.36	0	433.25	437.2653	437.9817	3	1	0.740600000000029	0.0008
67	6563	211	1.77	6.85	1	439.2979	443.3132	444.0296	2	1	1.3725000000000023	0.0001
68	8510	003	7.32	4.93	0	446.6621	450.6774	451.3938	3	1	0.7345000000000255	0.0009
69	7044	311	4.69	3.94	1	452.7267	455.7423	456.4587	3	1	0.9662999999999897	0.0009
70	8370	100	7.77	6.73	0	457.7916	460.8072	461.5236	1	1	0.6983000000000175	0.0007
71	7019	211	5.2	3.36	1	462.8565	466.8718	467.5882	2	1	0.9616000000000327	0.0009
72	8492	003	7.21	7.31	0	468.9044	474.919	475.6354	3	1	0.7110999999999876	0.0008
73	5833	313	8.22	5.71	1	476.9516	481.9666	482.683	1	1	1.007000000000005	0.0009
74	2102	100	5.16	3.03	0	483.9992	489.0141	489.7306	1	1	0.7875000000000227	0.0008
75	2411	233	5.07	2.86	1	491.0468	496.0617	496.7781	2	1	1.0523000000000025	0.0008
76	8501	100	7.91	6.44	0	498.0944	501.11	501.8264	1	1	0.7225999999999999	0.0008
77	4626	020	7.6	5.78	0	503.1426	509.1572	509.8736	2	1	0.7688999999999737	0.0008
78	9250	313	2.57	6.6	1	511.2065	517.2211	517.9375	1	1	0.9235999999999649	0.0009
79	8080	233	7.73	6.65	1	519.2537	525.2683	525.9847	2	1	1.1263000000000147	0.0007
80	3010	020	1.79	7.26	0	527.301	533.3156	534.032	2	1	0.813199999999938	0.0008
81	5470	100	7.35	6.02	0	535.3482	539.3635	540.0799	1	1	0.8589000000000624	0.0008
82	7025	232	4.63	2.71	1	541.3961	546.411	547.1274	3	1	1.2331000000000358	0.0008
83	2332	020	7.64	4.3	0	548.4603	552.4756	553.192	2	1	0.8247000000000071	0.0008
84	2440	020	4.49	2.63	0	554.5082	557.5239	558.2403	2	1	0.823099999999954	0.0009
85	9910	313	2.06	6.2	1	559.5565	563.5718	564.2882	1	1	1.5561999999999898	0.0001
