trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	8420	003	7.76	5.56	0	-0.9833	2.0322	2.7486	3	1	0.7624	0.0008
2	9070	332	5.01	3.63	1	4.0648	8.0801	8.7966	2	1	0.9799000000000007	0.001
3	8180	100	7.12	6.59	0	10.1128	14.128	14.8445	1	1	0.6194000000000006	0.0008
4	3062	020	1.87	5.78	0	16.1607	22.1753	22.8917	2	1	0.9939	0.0009
5	8540	233	7.48	5.16	1	24.2079	29.2228	29.9393	2	1	1.0399999999999991	0.0008
6	9560	100	2.12	5.5	0	31.2555	34.2711	34.9875	1	1	0.9292000000000016	0.0007
7	2205	020	1.95	4.53	0	36.3037	41.3187	42.0351	2	1	0.725200000000001	0.0008
8	2487	112	5.2	4.05	1	43.3513	46.3669	47.0833	2	1	1.4112999999999971	0.0001
9	9908	212	2.34	6.63	1	49.7158	52.7314	53.4478	1	1	1.109099999999998	0.0009
10	2208	100	7.35	5.68	0	54.764	59.779	60.4954	1	1	1.9207000000000036	0.0001
11	2710	020	2.52	5.46	0	63.1278	69.1424	69.8588	2	1	0.9789999999999992	0.0008
12	2717	232	2.58	5.7	1	71.175	75.1903	75.9067	3	1	1.0716000000000037	0.001
13	5600	112	7.57	5.19	1	77.223	81.2382	81.9547	2	1	1.3828999999999922	0.0001
14	6350	003	1.9	7.29	0	84.5871	88.6024	89.3188	3	1	0.8311000000000064	0.0009
15	2840	100	4.91	2.43	0	90.6517	94.6669	95.3834	1	1	0.6727000000000061	0.0009
16	1710	212	8.34	5.41	1	96.6996	100.7149	101.4313	1	1	1.1090000000000089	0.0009
17	2190	003	4.83	2.41	0	102.7475	108.7621	109.4785	3	1	0.9211000000000098	0.0008
18	8300	313	7.02	6.14	1	110.7947	113.8103	114.5268	1	1	1.0914000000000073	0.0008
19	5535	100	4.81	4.11	0	115.843	119.8583	120.5747	1	1	0.7621999999999929	0.0009
20	7330	020	7.69	5.14	0	121.8909	126.9058	127.6223	2	1	0.8863000000000056	0.0009
21	8200	232	7.54	6.35	1	128.9385	133.9534	134.6698	3	1	1.2135999999999854	0.0008
22	9800	100	2.04	6.05	0	135.986	139.0017	139.7181	1	1	0.8839000000000112	0.0009
23	7100	221	5.24	2.89	1	141.051	145.0662	145.7827	1	1	1.0849000000000046	0.0009
24	9940	020	1.62	7.15	0	147.1155	153.1301	153.8466	2	1	0.8175999999999988	0.0009
25	7032	003	4.82	3.18	0	155.1794	160.1944	160.9108	3	1	1.0345000000000084	0.0008
