trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	8420	003	7.76	5.56	0	0.0	3.548842745	3.9644557739999997	3	1	0.6409116539999999	0.001366905999
2	9070	332	5.01	3.63	1	5.480675193	9.346469209	9.762586306000001	2	1	0.817913131	0.001117020001
3	8180	100	7.12	6.59	0	11.27935265	14.71091243	15.12839971	1	1	0.444461877	0.001114049002
4	3062	020	1.87	5.78	0	16.643670800000002	20.04259512	20.45910941	2	1	0.521509076	0.001180184001
5	8540	233	7.48	5.16	1	21.97525959	25.87396934	26.29045153	1	0	0.64993112	0.001068633996
6	9560	100	2.12	5.5	0	27.80664498	31.738744	32.15526528	1	1	0.608835515	0.001040746996
7	2205	020	1.95	4.53	0	33.67144491	37.27119793	37.68672618	2	1	0.549809951	0.001134619
8	2487	112	5.2	4.05	1	39.20284961	42.75186797	43.16824649	2	1	1.100154835	0.001086277
9	9908	212	2.34	6.63	1	44.68437925	47.76693797	48.167024100000006	1	1	0.8377254999999999	0.001097043001
10	2208	100	7.35	5.68	0	49.68284558	53.68158724	54.08167139	1	1	0.538572371	0.001054654997
11	2710	020	2.52	5.46	0	55.5817561	59.07968888	59.49623587	2	1	0.6760671859999999	0.001090484002
12	2717	232	2.58	5.7	1	61.0123941	64.6279219	65.04498332	3	1	0.815729455	0.001112510996
13	5600	112	7.57	5.19	1	66.56047515	70.37586525	70.79246407	2	1	0.8286888440000001	0.001250638998
14	6350	003	1.9	7.29	0	72.30914976	76.00735188	76.42389397	3	1	0.596769935	0.001112478996
15	2840	100	4.91	2.43	0	77.94010212	81.09005859999999	81.50566739	1	1	0.523082611	0.001099998
16	1710	212	8.34	5.41	1	83.02181473	86.32069797	86.73726796	1	1	0.79511467	0.001062435003
17	2190	003	4.83	2.41	0	88.25344898	91.80226253	92.21884054	3	1	0.634266097	0.001234082003
18	8300	313	7.02	6.14	1	93.73499106	97.20122936	97.61704789	1	1	0.7233522590000001	0.001079756003
19	5535	100	4.81	4.11	0	99.13314121	102.88186280000001	103.2985132	1	1	0.5537052960000001	0.001051514999
20	7330	020	7.69	5.14	0	104.8146561	108.11356040000001	108.5300709	2	1	0.570379469	0.001061527
21	8200	232	7.54	6.35	1	110.0471601	113.67839040000001	114.0949711	3	1	0.7651406470000001	0.001043108998
22	9800	100	2.04	6.05	0	115.61136709999998	118.8103624	119.2265935	1	1	0.593534504	0.001044067998
23	7100	221	5.24	2.89	1	120.74269029999999	123.9583534	124.3753498	1	1	0.829189588	0.001077476998
24	9940	020	1.62	7.15	0	125.8910561	128.9733223	129.38986880000002	2	1	0.687192204	0.001147066003
25	7032	003	4.82	3.18	0	130.90606540000002	134.13892890000002	134.5548556	3	1	0.5696429470000001	0.001079427006
26	7632	221	5.22	4.78	1	136.0709955	139.2709242	139.68645769999998	1	1	0.734545158	0.001128105003
27	2154	100	8.03	4.48	0	141.2026574	144.5682086	144.9847801	1	1	0.56364123	0.0010922200019999999
28	2710	322	2.52	5.46	1	146.5008264	149.9330121	150.3496968	3	1	0.8791284359999999	0.001113585
29	2393	020	4.87	2.93	0	151.8657521	154.88146809999998	155.2980372	2	1	0.57015348	0.0010487930049999999
30	2441	003	4.64	3.62	0	156.8141881	160.01308280000003	160.4296581	3	1	0.567228567	0.001125549003
31	3062	131	1.87	5.78	1	161.9459849	165.3114024	165.7278841	2	0	0.756946998	0.001259855002
32	3195	020	2.06	6.36	0	167.2441206	170.7262629	171.1427987	2	1	0.5978948079999999	0.001227323002
33	9700	313	4.77	3.21	1	172.6595314	175.7752169	176.19120049999998	1	1	0.597088569	0.001072756
34	9421	211	2.21	5.04	1	177.70733859999999	180.92307140000003	181.3231061	2	1	1.097015667	0.001020183998
35	2377	003	5.19	3.5	0	182.83912809999998	186.537743	186.9543243	3	1	0.530449026	0.001243330997
36	7036	322	4.88	3.32	1	188.4705057	192.30342009999998	192.7190813	3	1	0.8135489229999999	0.0010800570020000001
37	3160	100	2.63	5.35	0	194.23521680000002	198.1507559	198.56716630000003	1	1	0.46991642299999997	0.001372461003
38	9560	232	2.12	5.5	1	200.0832706	203.7154734	204.1319462	3	1	0.873185158	0.001147215997
39	9700	020	4.77	3.21	0	205.64841289999998	209.3976712	209.813428	2	1	0.53496905	0.001111580998
40	9920	003	2.5	5.76	0	211.3301591	214.91206969999996	215.32825359999998	3	1	0.508285827	0.001073346997
41	9000	313	2.55	4.06	1	216.84462599999998	220.29329080000002	220.71032200000002	1	1	0.750088819	0.001062556003
42	7497	020	5.19	4.97	0	222.22606690000003	226.10802599999997	226.5246269	2	1	0.615601594	0.001021263997
43	9421	020	2.21	5.04	0	228.04080069999998	231.60630460000002	232.02285099999997	2	1	0.637216053	0.001010823005
44	7484	212	4.99	4.24	1	233.53901890000003	237.1378315	237.5543173	1	1	0.746161162	0.001097351
45	2224	211	7.24	4.85	1	239.0711649	242.6535715	243.0693694	2	1	0.927795521	0.001142342997
46	3181	100	2.3	5.06	0	244.5853804	248.01748430000004	248.4340241	1	1	0.49810527299999996	0.001018576004
47	7032	332	4.82	3.18	1	249.9502017	253.1834296	253.59903619999997	2	1	0.925912324	0.001141313995
48	2208	211	7.35	5.68	1	255.1152199	258.2308397	258.6473719	2	1	0.797765154	0.001139637003
49	7004	100	5.04	2.0	0	260.16351230000004	263.6623742	264.0788844	1	1	0.47828033700000006	0.001143909998
50	2071	311	7.86	5.0	1	265.5950707	269.56066450000003	269.9772314	3	1	0.6838163079999999	0.001147818999
51	7405	100	7.38	6.28	0	271.4931385	274.9419653	275.35850719999996	1	1	0.5587192870000001	0.001374735999
52	3110	331	1.79	6.7	1	276.8749035	280.45712230000004	280.8733539	1	1	0.827481026	0.0011919300010000001
53	8503	020	7.02	5.22	0	282.38959460000007	285.83872080000003	286.25493539999997	2	1	0.549874176	0.001275163006
54	3181	112	2.3	5.06	1	287.7711291	291.4699085	291.88638169999996	2	1	0.8937962540000001	0.001029405001
55	3059	100	1.81	6.48	0	293.4025553	296.75145530000003	297.1680256	1	1	0.44434474799999996	0.001062926
56	8496	112	7.58	5.79	1	298.6841998	302.5832668	302.99947060000005	2	1	0.893195821	0.001114127997
57	6260	221	2.44	6.93	1	304.51561519999996	307.8811376	308.29769480000004	1	1	0.835431209	0.001144000002
58	7484	100	4.99	4.24	0	309.8139077	313.0795008	313.4968422	1	1	0.603972992	0.001117922999
59	8420	332	7.76	5.56	1	315.0121363	318.6776376	319.09410099999997	2	1	0.782299223	0.001089154001
60	2840	232	4.91	2.43	1	320.61030939999995	323.6259667	324.0425159	3	1	0.8499431129999999	0.001071742998
61	8170	020	7.63	6.12	0	325.558705	328.7741835	329.1906978	2	1	0.62246327	0.001150354001
62	2377	311	5.19	3.5	1	330.70782119999996	333.77347430000003	334.1733427	3	1	0.9434922509999999	0.001266484003
63	3195	311	2.06	6.36	1	335.67284930000005	338.987556	339.4041283	3	1	0.728072348	0.001048998005
64	7002	100	4.97	3.16	0	340.9204518	344.0196748	344.4357798	1	1	0.544798212	0.001099786001
65	5535	131	4.81	4.11	1	345.95193900000004	349.3679971	349.7849916	3	1	0.771878341	0.0012890169960000002
66	4220	311	6.6	5.18	1	351.300221	354.3325986	354.74911010000005	3	1	0.736266476	0.0013774589970000002
67	6230	100	2.37	7.35	0	356.26619280000006	359.81406489999995	360.2307738	1	1	0.558290276	0.001168647002
68	2272	131	4.5	3.74	1	361.746721	364.9958267	365.39590810000004	3	1	0.6331995539999999	0.001349015001
69	3059	331	1.81	6.48	1	366.9117651	370.17760439999995	370.5937895	1	1	0.802800423	0.0011006479979999999
70	9000	003	2.55	4.06	0	372.1100683	375.35896360000004	375.7757546	3	1	0.708894791	0.0010890989939999999
71	7002	313	4.97	3.16	1	377.29161089999997	380.3906438	380.8076802	1	1	0.717095763	0.001251859998
72	8300	003	7.02	6.14	0	382.32325489999994	385.75552539999995	386.17296689999995	3	1	0.584211058	0.001362151001
73	2487	100	5.2	4.05	0	387.6882028	391.5203064	391.9368012	1	1	0.515754988	0.001073103995
74	3530	211	1.8	6.82	1	393.4532745	397.0184236	397.43494419999996	1	0	0.681149662	0.0010385780039999998
75	8380	020	7.56	5.74	0	398.9511753	402.450023	402.8667328	2	1	0.60935043	0.001015859001
76	2210	100	4.7	3.08	0	404.382767	407.99818210000007	408.4150811	1	1	0.5261705870000001	0.001381476002
77	8503	221	7.02	5.22	1	409.93134680000003	413.57975780000004	413.9962438	1	1	1.016334232	0.001075699001
78	7037	020	4.81	3.71	0	415.5124064	419.09459879999997	419.51115539999995	2	1	0.557957967	0.001155557999
79	2272	003	4.5	3.74	0	421.0272489	424.2929067	424.7093671	3	1	0.543782442	0.001147842006
80	2154	212	8.03	4.48	1	426.22604569999993	430.20762289999993	430.62411960000003	1	1	0.7169563040000001	0.001150585995
81	2210	211	4.7	3.08	1	432.1403106000001	435.78906950000004	436.20561	2	1	0.758675468	0.001080084003
82	2717	020	2.58	5.7	0	437.72183739999997	441.3215491	441.72141730000004	2	1	0.7473322259999999	0.001246710999
83	4670	003	6.99	6.74	0	443.23668449999997	446.6354668000001	447.05201189999997	3	1	1.032430145	0.001089231999
84	8470	331	7.74	6.14	1	448.5682334	452.3844194	452.800183	1	1	0.8683356590000001	0.001208288995
85	9927	003	2.71	5.29	0	454.3162785	457.731917	458.14837580000005	3	1	0.625350783	0.001707351999
86	2595	003	4.88	3.71	0	459.6645415	462.74688710000004	463.1634571000001	3	1	0.552656618	0.001041288997
87	2190	212	4.83	2.41	1	464.67953389999997	467.9459188	468.3617092	1	1	0.82649711	0.001059761002
88	2071	003	7.86	5.0	0	469.87786009999996	473.7265798	474.1431177	3	1	0.589090981	0.001024256002
89	8180	331	7.12	6.59	1	475.65928590000004	479.64134440000004	480.05853160000004	1	1	0.754113281	0.001109017998
90	9220	003	2.06	4.0	0	481.5740108	484.6396727	485.0561595	3	1	0.540913615	0.001144155001
91	2441	331	4.64	3.62	1	486.57237639999994	489.6380972	490.05454510000004	1	1	0.686574695	0.001141920002
92	5629	100	7.03	6.55	0	491.5707615	494.8862579	495.3028378000001	1	1	0.517688901	0.001072084997
93	8030	332	7.33	7.35	1	496.81937300000004	500.6676978	501.08452360000007	2	1	0.752255329	0.001245373998
94	7014	100	5.15	3.25	0	502.60042980000003	506.5657444	506.9822857	1	1	0.566611359	0.001128279997
95	5480	020	7.53	5.48	0	508.49848399999996	511.98069780000003	512.3977864	2	1	0.590979114	0.0011255919960000001
96	2393	311	4.87	2.93	1	513.9138915	517.3289748	517.745408	3	1	0.667818117	0.0014084770009999998
97	3110	003	1.79	6.7	0	519.2616591	522.4272767	522.8437239	3	1	0.609321685	0.001371054997
98	5480	233	7.53	5.48	1	524.3606375	528.3252405000001	528.7418481999999	1	0	0.56686593	0.0012378930039999999
99	6350	212	1.9	7.29	1	530.2580221	533.2736478	533.6901661999999	1	1	0.826195755	0.0010644509970000001
100	2224	020	7.24	4.85	0	535.206364	538.938506	539.3549734000001	2	1	0.650164368	0.0013681169949999999
101	9800	233	2.04	6.05	1	540.8711442000001	544.8198443	545.2364077000001	2	1	0.6802099340000001	0.001084866999
102	6260	003	2.44	6.93	0	546.7525425	550.3680496000001	550.784573	3	1	0.731848387	0.001102299997
103	7497	322	5.19	4.97	1	552.3007205	555.6995801	556.1161394999999	3	1	1.000558065	0.001107564
104	9070	020	5.01	3.63	0	557.6323156000001	560.8978921	561.3145919	2	1	0.602290283	0.001293462003
105	9220	311	2.06	4.0	1	562.8307177	566.3461503999999	566.7629267000001	3	1	0.865159035	0.001009294996
106	7492	313	7.41	4.91	1	568.2789712	571.8444192000001	572.2609107000001	1	1	0.599713454	0.001230702001
107	9908	100	2.34	6.63	0	573.7770506	577.5600557	577.9756112000001	1	1	0.5251202970000001	0.001094002
108	8470	003	7.74	6.14	0	579.4918257999999	582.9740062999999	583.3905182999999	3	1	0.542588947	0.001341289004
109	2308	211	5.22	3.82	1	584.9066875	588.6221469999999	589.0386602000001	2	1	0.7584166379999999	0.001143545996
110	5600	100	7.57	5.19	0	590.5547778	594.0703402	594.4868538	1	1	0.438394639	0.001371012004
111	7014	233	5.15	3.25	1	596.003084	599.1520919	599.5685440000001	2	1	0.6921460909999999	0.0012149280009999999
112	8540	100	7.48	5.16	0	601.0846663	604.4678417	604.8833887	1	1	0.592933111	0.001065138
113	4220	100	6.6	5.18	0	606.3996432	610.0485223999999	610.4649297999999	1	1	0.555191066	0.001016435002
114	9210	233	4.53	3.08	1	611.9810877	615.2966844	615.7132526	2	1	0.659688462	0.001122547001
115	1710	003	8.34	5.41	0	617.2293645	621.2280895	621.6445599	3	1	0.66427195	0.001109715005
116	9332	003	2.25	5.34	0	623.160744	627.0927713	627.5094617000001	3	1	0.567989916	0.0014041449979999999
117	7405	221	7.38	6.28	1	629.0255097999999	632.4584751	632.8741907000001	1	1	0.962469888	0.001094514002
118	7492	003	7.41	4.91	0	634.3904147000001	638.2225036	638.6389572	3	1	0.581272466	0.001044147
119	7004	331	5.04	2.0	1	640.155179	643.4040878	643.8206903	1	1	0.6155465960000001	0.001040167001
120	8496	020	7.58	5.79	0	645.3368116	649.0022343999999	649.4188076	2	1	0.538277887	0.001145709997
121	6230	112	2.37	7.35	1	650.9349639999999	654.8172761	655.2334943	2	1	1.0908275490000001	0.001093075
122	7100	003	5.24	2.89	0	656.749734	659.9488388999999	660.3489248	3	1	0.7041034540000001	0.001373687999
123	4670	232	6.99	6.74	1	661.8647861000001	665.4969847	665.9134677999999	3	1	1.075231313	0.0012134380009999998
124	2308	020	5.22	3.82	0	667.429534	670.5121091	670.9283715	2	1	0.668642121	0.001124579001
125	5629	131	7.03	6.55	1	672.4445843	676.3108288	676.7264729	3	1	1.030111024	0.001102823
126	2595	112	4.88	3.71	1	678.2426174	681.7414861000001	682.1580609	2	1	0.82228965	0.001071502003
127	3530	100	1.8	6.82	0	683.6741413	686.7065127000001	687.1239856000001	1	1	0.665355126	0.001394855004
128	3160	332	2.63	5.35	1	688.6392522000001	692.5212799	692.9377831	2	1	0.9065859890000001	0.001062082003
129	7037	232	4.81	3.71	1	694.453973	698.4701186000001	698.8858097	3	1	0.7755627909999999	0.0013848070009999998
130	8200	020	7.54	6.35	0	700.4020448	703.7675502999999	704.1840915	2	1	0.644144729	0.001085878001
131	9940	322	1.62	7.15	1	705.7012172	709.2659295	709.6826643999999	3	1	0.7456415279999999	0.001070904
132	9520	020	2.46	5.41	0	711.1985197	714.464088	714.8806294999999	2	1	0.524141837	0.001137243002
133	7330	322	7.69	5.14	1	716.3967532	720.0122959	720.4288084	3	1	0.743978852	0.001106854004
134	8170	322	7.63	6.12	1	721.9449392000001	725.5771992000001	725.9935719	3	1	0.683289858	0.001121033005
135	7632	020	5.22	4.78	0	727.5097599	730.9419954	731.3585232	2	1	0.549882229	0.0010867749950000001
136	9927	313	2.71	5.29	1	732.8746525	736.6567277	737.0732819	1	1	0.8112117109999999	0.001125827002
137	7036	003	4.88	3.32	0	738.5894869	741.921675	742.3381461	3	1	0.586435549	0.0010773359970000001
138	8380	131	7.56	5.74	1	743.8543595	747.0203532	747.4365713999999	3	1	0.544099029	0.001090622995
139	9520	221	2.46	5.41	1	748.9526963	752.7848193	753.2012693	1	1	0.5633919079999999	0.0010920580030000001
140	8030	003	7.33	7.35	0	754.7174392000001	758.5329355	758.9494383	3	1	0.599402189	0.001123182999
141	9332	332	2.25	5.34	1	760.4655477000001	763.8147643	764.2313811	2	1	0.66144652	0.001116226995
142	9920	131	2.5	5.76	1	765.7471737000001	769.4459502000001	769.8624621	3	1	0.9581953559999999	0.001223348001
143	9210	020	4.53	3.08	0	771.3786167000001	775.2116819	775.627323	2	1	0.545725489	0.001143916998
144	2205	233	1.95	4.53	1	777.1435918	780.1595169999999	780.5756502	2	1	0.661384188	0.001130046003
