trial	iaps	msit	valence	arousal	interference	fixOnset	IAPSOnset	MSITOnset	responseKey	responseCorrect	responseTime	responseUncertainty
1	2799	221	2.42	5.02	1	0.0	3.623736715	4.024510471	1	1	0.9106250651000001	0.0013206889999999999
2	2516	311	4.9	3.5	1	5.527426041	9.15112901	9.55194292	3	1	1.167078936	0.001247011998
3	9250	003	2.57	6.6	0	11.05485855	14.17757231	14.57835204	3	1	1.052261777	0.001074722997
4	4520	332	6.16	4.8	1	16.08136151	20.02916197	20.44658613	2	1	1.176087473	0.0010539739999999998
5	9322	322	2.24	5.73	1	21.96179624	25.56058084	25.97717507	x	-1	-1.0	0.0
6	1811	020	7.62	5.12	0	27.49329573	31.45866265	31.87518273	2	1	1.156098929	0.0013574639999999998
7	9429	331	2.68	5.63	1	33.3915569	36.67403905	37.09010203	1	1	1.148427793	0.001035924
8	8350	003	7.18	5.18	0	38.60636365	42.12185777	42.53839984	3	1	0.668478923	0.001202675998
9	9419	331	2.55	5.19	1	44.05456003	47.83756875	48.25314537	1	1	0.9940585040000001	0.0011194969990000001
10	9903	020	2.36	5.71	0	49.76928265	53.15153789	53.56805303	2	1	0.863123258	0.001294485999
11	2160	232	7.58	5.16	1	55.08421802	58.21656405	58.63310568	3	1	1.238096114	0.001116736999
12	9810	212	2.09	6.62	1	60.14941099	63.99846926	64.41450538	1	1	1.400043616	0.001114454
13	3350	020	1.88	5.72	0	65.93064365	69.93031226	70.34586147	x	-1	-1.0	0.0
14	2347	331	7.83	5.56	1	71.86289461	75.22757927	75.64411749	1	1	0.939127287	0.001112266
15	2484	003	5.0	3.75	0	77.16029446	80.87665631	81.29225594	3	1	0.722404301	0.00105124
16	5833	003	8.22	5.71	0	82.80835325	86.69043049	87.10795639	3	1	1.130550049	0.0010304380009999998
17	7058	212	5.29	3.98	1	88.62316779999999	91.97214770000001	92.38868277	1	1	1.242299588	0.001090042999
18	3261	112	1.82	5.75	1	93.90480141	97.83779707	98.25341372	2	1	1.097161018	0.001051626998
19	2002	003	4.95	3.35	0	99.76951115	103.0351353	103.45169449999999	3	1	0.954889489	0.001060840001
20	6570	131	2.19	6.24	1	104.96786609999998	108.35008880000001	108.76659679999999	3	1	1.359785856	0.001006890001
21	2214	331	5.01	3.46	1	110.2827362	113.5483327	113.96535149999998	1	1	1.1772625209999998	0.001067384001
22	4607	100	7.03	6.34	0	115.4810899	119.31309340000001	119.72966240000001	1	1	0.80570268	0.001132021
23	8090	112	7.02	5.71	1	121.24576680000001	124.39476880000001	124.81133700000001	2	1	1.051386788	0.0010917
24	6570	020	2.19	6.24	0	126.327477	129.7763692	130.1928784	2	1	1.0301561879999999	0.001108585002
25	1811	131	7.62	5.12	1	131.7094181	135.2916275	135.69171980000002	3	1	1.274922285	0.001080844002
26	9419	003	2.55	5.19	0	137.2072556	140.3561008	140.77269330000001	3	1	1.058214305	0.0011944739999999998
27	2440	221	4.49	2.63	1	142.28979119999997	145.93764240000002	146.354137	1	1	1.204989125	0.001112943999
28	8501	112	7.91	6.44	1	147.87036819999997	151.8533368	152.26896519999997	2	1	0.858099834	0.001099649999
29	9429	003	2.68	5.63	0	153.7851292	157.28399069999998	157.7014073	3	1	1.330051708	0.0013767529999999999
30	5910	311	7.8	5.59	1	159.2009239	162.7489847	163.1490787	3	1	1.473232985	0.001005957001
31	4520	100	6.16	4.8	0	164.6648398	168.6136951	169.0300826	1	1	0.85730562	0.001138094998
32	2484	232	5.0	3.75	1	170.5464214	174.2126655	174.6285744	3	1	1.42574206	0.00102444
33	3015	100	1.52	5.9	0	176.14440430000002	179.876669	180.29308569999998	1	1	0.570037942	0.001125570998
34	2495	020	5.22	3.19	0	181.80917240000002	185.2581137	185.6746644	2	1	1.172424418	0.001099875
35	7021	211	5.21	4.17	1	187.1906999	190.75644350000002	191.1730013	x	-1	-1.0	0.0
36	8080	003	7.73	6.65	0	192.6888719	196.5211981	196.9212916	3	1	0.661140541	0.001011302
37	6263	232	2.48	6.62	1	198.4370602	202.1359125	202.5524166	3	1	1.230898617	0.0013707479990000002
38	2102	332	5.16	3.03	1	204.06856409999997	207.11752869999998	207.53410390000002	2	1	1.18525569	0.001128291002
39	2347	020	7.83	5.56	0	209.0502622	212.31679080000004	212.73332119999998	2	1	1.3530438130000002	0.0010060689999999998
40	5534	322	4.84	3.14	1	214.24852630000004	217.4476142	217.86400330000004	3	1	1.246536353	0.001046494002
41	9810	100	2.09	6.62	0	219.381135	223.1955977	223.61210609999998	1	1	0.78652541	0.001052502997
42	9414	233	2.06	6.49	1	225.12827719999999	228.46057290000002	228.87704930000004	1	0	1.417291312	0.0010291949980000001
43	8492	313	7.21	7.31	1	230.3932785	234.39193980000002	234.8084105	1	1	1.166039185	0.001014828998
44	2799	100	2.42	5.02	0	236.3246316	239.7068429	240.12341469999998	1	1	0.85890211	0.001000359
45	3215	311	2.51	5.44	1	241.6395637	245.3050869	245.72151580000002	x	-1	-1.0	0.0
46	7130	331	4.77	3.35	1	247.22198790000002	250.9864596	251.403	1	1	1.307357154	0.001008667001
47	2381	020	5.25	3.04	0	252.9190684	256.45224249999995	256.868773	x	-1	-1.0	0.0
48	9903	322	2.36	5.71	1	258.3849184	261.84954369999997	262.2660609	3	1	1.324553995	0.001058827002
49	2570	020	4.78	2.76	0	263.7822287	267.5809786	267.9984717	2	1	0.840346005	0.001094242998
50	2730	332	2.45	6.8	1	269.5136917	273.229205	273.6456417	2	1	1.169154165	0.0010691490020000001
51	7508	100	7.02	5.09	0	275.1618792	278.72787860000005	279.14389639999996	1	1	0.8467340520000001	0.001055629
52	2002	313	4.95	3.35	1	280.6600358	284.0589267	284.47539989999996	1	1	1.28395486	0.001383045001
53	5470	211	7.35	6.02	1	285.991596	289.9405104	290.35778789999995	2	1	0.9931204579999999	0.0010897399989999999
54	7025	100	4.63	2.71	0	291.873373	295.1385962	295.55507739999996	1	1	1.13124664	0.0009990840008
55	7508	232	7.02	5.09	1	297.0713293	300.2035307	300.62043969999996	3	1	1.45913743	0.001399344001
56	7270	331	7.53	5.76	1	302.13719629999997	305.21862430000004	305.6354287	2	0	1.155932934	0.001121999001
57	2200	003	4.79	3.18	0	307.15133419999995	311.0176067	311.4332236	3	1	1.397830523	0.001093606003
58	2216	100	7.57	5.83	0	312.9494392	316.2316487	316.64818199999996	x	-1	-1.0	0.0
59	8370	131	7.77	6.73	1	318.16436860000005	322.0306447	322.4471729	3	1	0.895950727	0.0011070890029999999
60	7041	313	4.99	2.6	1	323.9627559	327.4779515	327.8944585	1	1	1.233557679	0.0019234370009999998
61	6263	003	2.48	6.62	0	329.4115986	333.0103894	333.42669069999994	3	1	1.37960936	0.001000779001
62	2396	003	4.91	3.34	0	334.9421848	338.72457149999997	339.1407975	3	1	0.889986157	0.001150250999
63	4607	212	7.03	6.34	1	340.6569092	343.9567854	344.3727707	1	1	1.4584479909999999	0.001118300999
64	4610	020	7.29	5.1	0	345.88858849999997	349.5873548	350.00385570000003	2	1	1.179028078	0.001078529
65	9253	232	2.0	5.53	1	351.5200486	355.0855391	355.502091	x	-1	-1.0	0.0
66	7019	003	5.2	3.36	0	357.01824239999996	360.050683	360.4671084	3	1	0.580212822	0.001133311998
67	6563	211	1.77	6.85	1	361.9832961	365.9818977	366.39849580000003	2	1	1.0158098	0.001004037
68	8510	003	7.32	4.93	0	367.9146707	371.1140702	371.53016510000003	3	1	1.03672233	0.00107645
69	7044	311	4.69	3.94	1	373.04647289999997	377.02864139999997	377.4448387	3	1	1.137904558	0.001062537998
70	8370	100	7.77	6.73	0	378.9610687	382.4774704	382.89310439999997	1	1	0.617757519	0.001179674
71	7019	211	5.2	3.36	1	384.4093858	387.8423725	388.2581222	x	-1	-1.0	0.0
72	8492	003	7.21	7.31	0	389.77451139999994	393.70615530000003	394.12272839999997	3	1	0.7482465970000001	0.001097584001
73	5833	313	8.22	5.71	1	395.6388659	399.3876555	399.8041753	1	1	1.122846222	0.001098001001
74	2102	100	5.16	3.03	0	401.3208285	404.5368635	404.9524535	1	1	0.7422014020000001	0.001076909
75	2411	233	5.07	2.86	1	406.4686172	410.00081370000004	410.41734710000003	x	-1	-1.0	0.0
76	8501	100	7.91	6.44	0	411.93352539999995	415.4659702	415.8821992	1	1	0.6921182459999999	0.001006823
77	4626	020	7.6	5.78	0	417.398329	421.21448899999996	421.6309041999999	2	1	0.880004274	0.001195861998
78	9250	313	2.57	6.6	1	423.14738930000004	426.22970260000005	426.6452359	1	1	1.113866255	0.001274296999
79	8080	233	7.73	6.65	1	428.1613995	431.9444813	432.36017350000003	x	-1	-1.0	0.0
80	3010	020	1.79	7.26	0	433.877183	437.2585367	437.67506460000004	2	1	0.5877178439999999	0.0010879750010000001
81	5470	100	7.35	6.02	0	439.19119400000005	442.34097810000003	442.75665599999996	1	1	0.602270195	0.0010864149989999999
82	7025	232	4.63	2.71	1	444.2738037	447.4223218	447.83838310000004	3	1	1.033043533	0.0011790729989999999
83	2332	020	7.64	4.3	0	449.35454680000004	452.6872541	453.10330889999994	2	1	1.112028299	0.00113352
84	2440	020	4.49	2.63	0	454.61942989999994	457.7517613	458.16832300000004	2	1	0.631211465	0.001361685998
85	9910	313	2.06	6.2	1	459.684426	463.19995520000003	463.6165298	1	1	1.278468421	0.001094594001
86	2730	100	2.45	6.8	0	465.1326994	468.26584019999996	468.68150099999997	1	1	0.829221978	0.001067159999
